t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s,imu_valid,imu_yaw_rate_rad_s,imu_accel_x_m_s2,imu_accel_y_m_s2,battery_v,est_valid,est_x_mm,est_y_mm,est_theta_rad,est_vx_mm_s,est_vy_mm_s,est_omega_rad_s,est_gyro_bias_rad_s,est_health
-0.2979,-0.3560,58.1,0,-539.4,-36.1,0.1446,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.61,-0.21,0.33,0.00,1,-0.0067,-0.137,0.167,24.00,1,-539.4,-36.1,0.14458,0.0,0.0,-0.0067,-0.00000,OK
-0.2901,-0.3560,65.9,0,-539.4,-36.1,0.1446,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.12,0.31,-0.20,-0.07,1,-0.0067,-0.127,0.177,25.00,1,-539.4,-36.1,0.14451,-3.6,-3.1,-0.0099,0.00282,OK
-0.2822,-0.3560,73.8,0,-539.4,-36.1,0.1446,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.08,0.01,0.29,0.36,1,-0.0067,-0.127,0.137,26.00,1,-539.4,-36.1,0.14494,5.8,1.4,0.0440,-0.03192,OK
-0.2741,-0.2765,2.4,0,-539.5,-36.1,0.1437,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.3,-0.1,0.0035,0.2,-0.1,0,0.0,0.0,0.0000,0.08,-0.40,-0.16,-0.16,1,-0.0078,-0.127,0.147,25.00,1,-539.5,-36.1,0.14412,-2.8,6.2,-0.0271,-0.00803,OK
-0.2660,-0.2765,10.5,0,-539.5,-36.1,0.1437,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.3,-0.1,0.0035,0.2,-0.1,0,0.0,0.0,0.0000,-0.05,-0.21,-0.02,-0.18,1,-0.0078,-0.108,0.167,25.00,1,-539.5,-36.1,0.14397,-1.9,1.3,-0.0239,0.00218,OK
-0.2577,-0.2765,18.8,0,-539.5,-36.1,0.1437,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.3,-0.1,0.0035,0.2,-0.1,0,0.0,0.0,0.0000,0.34,0.08,0.14,-0.09,1,-0.0078,-0.108,0.167,24.00,1,-539.5,-36.1,0.14393,-0.0,0.0,0.0016,-0.00204,OK
-0.2502,-0.2765,26.3,0,-539.5,-36.1,0.1437,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.3,-0.1,0.0035,0.2,-0.1,0,0.0,0.0,0.0000,-0.50,0.35,0.22,0.17,1,-0.0067,-0.137,0.177,25.00,1,-539.5,-36.1,0.14396,0.0,-0.0,0.0002,-0.00335,OK
-0.2416,-0.2431,1.4,0,-539.4,-36.2,0.1458,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.1,0.2,-0.0047,0.1,0.2,0,0.0,0.0,0.0000,-0.01,0.02,-0.04,0.13,1,-0.0078,-0.118,0.167,25.00,1,-539.4,-36.2,0.14473,1.8,-10.2,0.0182,-0.00451,OK
-0.2334,-0.2355,2.2,0,-539.5,-36.1,0.1427,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.3,0.1,0.0074,0.3,0.0,0,0.0,0.0,0.0000,0.21,0.18,-0.02,0.21,1,-0.0078,-0.118,0.147,25.00,1,-539.5,-36.1,0.14409,-8.5,10.3,-0.0165,-0.00544,OK
-0.2261,-0.2272,1.1,0,-539.4,-36.0,0.1462,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.1,-0.3,-0.0066,0.0,-0.3,0,0.0,0.0,0.0000,0.19,0.03,0.19,-0.19,1,-0.0089,-0.137,0.167,24.00,1,-539.4,-36.0,0.14473,15.2,24.5,0.0302,-0.00613,OK
-0.2176,-0.2182,0.6,0,-539.5,-36.2,0.1442,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.4,0.4,0.0015,0.4,0.3,0,0.0,0.0,0.0000,-0.09,0.11,-0.09,-0.21,1,-0.0089,-0.137,0.167,25.00,1,-539.5,-36.2,0.14453,-21.8,-34.1,-0.0092,-0.00629,OK
-0.2102,-0.2182,8.0,0,-539.5,-36.2,0.1442,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.4,0.4,0.0015,0.4,0.3,0,0.0,0.0,0.0000,-0.26,0.03,0.17,0.07,1,-0.0111,-0.127,0.137,25.00,1,-539.5,-36.2,0.14456,0.0,-0.0,-0.0005,-0.00681,OK
-0.2013,-0.2014,0.1,0,-539.4,-36.1,0.1423,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.1,0.1,0.0090,0.1,0.1,0,0.0,0.0,0.0000,0.18,0.30,0.03,0.25,1,-0.0111,-0.137,0.157,25.00,1,-539.4,-36.1,0.14392,10.3,3.3,-0.0402,-0.00754,OK
-0.1937,-0.2014,7.7,0,-539.4,-36.1,0.1423,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.1,0.1,0.0090,0.1,0.1,0,0.0,0.0,0.0000,-0.13,-0.16,0.18,-2.56,1,-0.0122,-0.137,0.186,25.00,1,-539.4,-36.2,0.14325,-13.4,-22.7,-0.2534,-0.00754,OK
-0.1854,-0.1932,7.7,0,-539.4,-36.1,0.1431,-539.4,-36.1,0.1446,0.0,0.0,0.0000,-0.0,0.1,0.0061,0.0,0.1,0,0.0,0.0,0.0000,-0.21,-0.02,-0.31,0.21,1,-0.0122,-0.137,0.186,24.00,1,-539.4,-36.1,0.14249,0.0,0.1,-0.0012,-0.00789,OK
-0.1777,-0.1843,6.6,0,-539.4,-36.1,0.1436,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.1,-0.1,0.0039,0.0,-0.1,0,0.0,0.0,0.0000,-0.01,-0.01,-0.30,-0.09,1,-0.0122,-0.098,0.157,25.00,1,-539.4,-36.1,0.14272,0.1,1.5,-0.0010,-0.00813,OK
-0.1696,-0.1763,6.7,0,-539.4,-36.0,0.1431,-539.4,-36.1,0.1446,0.0,0.0,0.0000,-0.0,-0.5,0.0060,-0.1,-0.5,0,0.0,0.0,0.0000,-0.10,0.21,0.01,0.18,1,-0.0056,-0.127,0.167,26.00,1,-539.4,-36.0,0.14280,0.5,1.7,0.0016,-0.00803,OK
-0.1613,-0.1676,6.3,0,-539.3,-36.1,0.1450,-539.4,-36.1,0.1446,0.0,0.0,0.0000,-0.1,0.1,-0.0015,-0.1,0.1,0,0.0,0.0,0.0000,-0.40,-0.28,0.32,-0.21,1,0.0000,-0.177,0.157,24.00,1,-539.3,-36.1,0.14322,0.5,-4.5,0.0001,-0.00725,OK
-0.1537,-0.1676,13.9,0,-539.3,-36.1,0.1450,-539.4,-36.1,0.1446,0.0,0.0,0.0000,-0.1,0.1,-0.0015,-0.1,0.1,0,0.0,0.0,0.0000,0.11,-0.17,-0.17,-0.10,1,0.0000,-0.078,0.157,25.00,1,-539.3,-36.1,0.14322,-0.0,0.0,-0.0007,-0.00669,OK
-0.1457,-0.1676,21.8,0,-539.3,-36.1,0.1450,-539.4,-36.1,0.1446,0.0,0.0,0.0000,-0.1,0.1,-0.0015,-0.1,0.1,0,0.0,0.0,0.0000,-0.19,0.14,0.16,-0.39,1,0.0000,-0.078,0.157,24.00,1,-539.3,-36.1,0.14321,0.0,-0.0,-0.0013,-0.00615,OK
-0.1374,-0.1676,30.2,0,-539.3,-36.1,0.1450,-539.4,-36.1,0.1446,0.0,0.0,0.0000,-0.1,0.1,-0.0015,-0.1,0.1,0,0.0,0.0,0.0000,-0.01,0.13,0.19,0.04,1,0.0011,-0.206,0.167,25.00,1,-539.3,-36.1,0.14321,0.0,0.0,0.0017,-0.00580,OK
-0.1298,-0.1333,3.5,0,-539.4,-36.1,0.1463,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.2,-0.1,-0.0070,0.2,-0.1,0,0.0,0.0,0.0000,0.16,0.03,0.06,0.05,1,0.0011,-0.078,0.147,25.00,1,-539.4,-36.1,0.14410,-5.0,3.4,0.0231,-0.00553,OK
-0.1223,-0.1255,3.2,0,-539.4,-36.1,0.1426,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.1,-0.0,0.0079,0.1,-0.0,0,0.0,0.0,0.0000,0.17,-0.08,-0.12,0.12,1,-0.0067,-0.147,0.186,25.00,1,-539.4,-36.1,0.14373,8.0,-5.0,-0.0119,-0.00562,OK
-0.1139,-0.1171,3.2,0,-539.5,-36.0,0.1450,-539.4,-36.1,0.1446,0.0,0.0,0.0000,0.3,-0.3,-0.0016,0.3,-0.3,0,0.0,0.0,0.0000,-0.03,0.39,0.16,0.07,1,-0.0067,-0.147,0.186,25.00,1,-539.5,-36.0,0.14404,-11.5,15.9,0.0128,-0.00579,OK
