t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2947,-0.3028,8.1,0,-387.4,-832.3,1.3036,-387.4,-832.3,1.3036,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0
-0.2868,-0.2943,7.5,0,-387.1,-832.3,1.3055,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-1.1,-0.2,0.0000,-0.5,1.0
-0.2787,-0.2860,7.3,0,-387.6,-832.3,1.3022,-387.4,-832.3,1.3036,0.0,0.0,0.0000,0.4,-0.2,0.0000,-0.1,-0.4
-0.2711,-0.2776,6.5,0,-387.6,-832.4,1.2975,-387.4,-832.3,1.3036,0.0,0.0,0.0000,0.5,0.3,0.0000,0.4,-0.4
-0.2628,-0.2691,6.3,0,-387.7,-832.6,1.3006,-387.4,-832.3,1.3036,0.0,0.0,0.0000,0.8,0.8,0.0000,1.0,-0.5
-0.2555,-0.2608,5.3,0,-387.2,-832.4,1.3012,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.7,0.3,0.0000,0.1,0.8
-0.2466,-0.2514,4.8,0,-387.5,-832.4,1.3014,-387.4,-832.3,1.3036,0.0,0.0,0.0000,0.1,0.1,0.0000,0.1,-0.1
-0.2391,-0.2442,5.1,0,-387.0,-832.1,1.3139,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-1.5,-0.8,0.0000,-1.2,1.2
-0.2312,-0.2329,1.6,0,-387.4,-832.3,1.3060,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.1,-0.2,0.0000,-0.2,0.1
-0.2223,-0.2265,4.2,0,-387.3,-832.5,1.3112,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.4,0.5,0.0000,0.4,0.5
-0.2147,-0.2181,3.3,0,-387.4,-832.1,1.3083,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.1,-0.6,0.0000,-0.6,-0.0
-0.2067,-0.2101,3.4,0,-387.4,-832.3,1.3021,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.0,-0.2,0.0000,-0.2,-0.0
-0.1995,-0.2008,1.3,0,-387.4,-832.2,1.3049,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.2,-0.3,0.0000,-0.3,0.1
-0.1905,-0.1929,2.3,0,-388.0,-832.2,1.3002,-387.4,-832.3,1.3036,0.0,0.0,0.0000,1.5,-0.4,0.0000,-0.0,-1.6
-0.1828,-0.1842,1.4,0,-387.8,-832.5,1.3003,-387.4,-832.3,1.3036,0.0,0.0,0.0000,1.2,0.4,0.0000,0.7,-1.0
-0.1741,-0.1759,1.7,0,-387.3,-832.3,1.3037,-387.4,-832.3,1.3036,0.0,0.0,0.0000,-0.6,-0.2,0.0000,-0.3,0.5
