t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2918,-0.2928,1.1,0,-172.8,15.6,-3.0638,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.3,-0.4,0.0007,-0.3,0.4,0,0.0,0.0,0.0000,0.36,-0.63,0.18,-0.11
-0.2835,-0.2847,1.1,0,-172.7,15.4,-3.0598,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.0,0.1,-0.0154,0.0,-0.1,0,0.0,0.0,0.0000,-0.29,0.62,-0.17,-0.25
-0.2763,-0.2847,8.3,0,-172.7,15.4,-3.0598,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.0,0.1,-0.0154,0.0,-0.1,0,0.0,0.0,0.0000,-0.40,-0.74,-0.03,-0.02
-0.2677,-0.2763,8.6,0,-172.7,15.2,-3.0584,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.2,0.6,-0.0209,0.2,-0.7,0,0.0,0.0,0.0000,0.74,0.30,0.38,-0.01
-0.2602,-0.2674,7.3,0,-172.5,15.5,-3.0643,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.7,-0.0,0.0027,0.7,-0.0,0,0.0,0.0,0.0000,0.03,-0.10,-0.12,-0.17
-0.2518,-0.2592,7.4,0,-172.5,15.3,-3.0628,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.6,0.6,-0.0035,0.6,-0.6,0,0.0,0.0,0.0000,-0.26,0.03,0.00,-0.08
-0.2442,-0.2508,6.6,0,-172.8,15.3,-3.0636,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.2,0.4,-0.0003,-0.2,-0.4,0,0.0,0.0,0.0000,0.10,0.15,0.25,-0.11
-0.2359,-0.2423,6.4,0,-172.9,15.3,-3.0619,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.4,0.3,-0.0070,-0.4,-0.3,0,0.0,0.0,0.0000,-0.01,0.19,-0.07,0.19
-0.2275,-0.2339,6.4,0,-172.7,15.4,-3.0619,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.1,-0.0,-0.0072,0.1,0.0,0,0.0,0.0,0.0000,0.16,0.24,-0.58,-0.09
-0.2197,-0.2220,2.3,0,-172.6,15.3,-3.0634,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.5,0.4,-0.0009,0.4,-0.4,0,0.0,0.0,0.0000,-0.24,0.08,0.25,-0.03
-0.2123,-0.2168,4.5,0,-172.2,15.3,-3.0675,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-1.5,0.5,0.0153,1.5,-0.7,0,0.0,0.0,0.0000,-0.07,-1.32,0.01,0.09
-0.2038,-0.2082,4.4,0,-173.0,15.3,-3.0610,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.8,0.4,-0.0107,-0.8,-0.3,0,0.0,0.0,0.0000,0.34,-0.01,-0.38,0.19
-0.1954,-0.2001,4.6,0,-172.3,15.3,-3.0651,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-1.3,0.4,0.0059,1.2,-0.5,0,0.0,0.0,0.0000,0.52,-0.19,-0.51,-0.09
-0.1873,-0.1911,3.8,0,-172.5,15.3,-3.0611,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.6,0.4,-0.0103,0.6,-0.4,0,0.0,0.0,0.0000,-0.46,0.36,0.10,-0.01
-0.1795,-0.1828,3.3,0,-172.3,15.5,-3.0614,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-1.4,-0.3,-0.0089,1.4,0.2,0,0.0,0.0,0.0000,-0.24,0.12,0.55,-0.06
-0.1723,-0.1746,2.4,0,-172.4,15.3,-3.0634,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-1.0,0.5,-0.0008,1.0,-0.5,0,0.0,0.0,0.0000,-0.23,-0.17,0.47,-0.03
-0.1639,-0.1662,2.3,0,-172.8,15.4,-3.0628,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.3,0.2,-0.0035,-0.3,-0.2,0,0.0,0.0,0.0000,0.62,0.07,0.09,0.04
-0.1563,-0.1577,1.3,0,-172.9,15.4,-3.0626,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.4,0.2,-0.0041,-0.4,-0.1,0,0.0,0.0,0.0000,0.00,0.13,0.06,0.04
-0.1474,-0.1492,1.8,0,-172.7,15.3,-3.0615,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.2,0.3,-0.0086,0.2,-0.3,0,0.0,0.0,0.0000,-0.27,0.23,0.10,0.46
-0.1404,-0.1406,0.1,0,-172.8,15.3,-3.0620,-172.7,15.4,-3.0636,0.0,0.0,0.0000,0.1,0.4,-0.0067,-0.1,-0.4,0,0.0,0.0,0.0000,-0.17,-0.65,-0.48,-0.14
-0.1318,-0.1319,0.2,0,-172.6,15.3,-3.0600,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.5,0.5,-0.0144,0.5,-0.5,0,0.0,0.0,0.0000,-0.06,0.11,0.25,-0.43
-0.1238,-0.1319,8.2,0,-172.6,15.3,-3.0600,-172.7,15.4,-3.0636,0.0,0.0,0.0000,-0.5,0.5,-0.0144,0.5,-0.5,0,0.0,0.0,0.0000,0.49,0.52,-0.07,-0.31
