t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2935,-0.2957,2.2,0,-300.5,-155.5,2.7967,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-1.0,0.0,-0.0017,1.0,0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2852,-0.2873,2.2,0,-300.1,-155.3,2.8029,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-2.1,-0.4,-0.0265,1.8,1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2779,-0.2790,1.1,0,-300.5,-155.2,2.7957,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-1.1,-0.6,0.0022,0.8,1.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2693,-0.2705,1.1,0,-300.0,-155.4,2.7970,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-2.4,-0.2,-0.0031,2.2,1.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2619,-0.2619,0.1,0,-300.7,-155.4,2.7972,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-0.3,-0.2,-0.0038,0.3,0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2534,-0.2535,0.0,0,-300.5,-155.2,2.7991,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-0.8,-0.8,-0.0115,0.5,1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2457,-0.2457,0.0,0,-300.2,-155.1,2.8015,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-2.0,-1.1,-0.0211,1.5,1.7,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2373,-0.2457,8.4,0,-300.2,-155.1,2.8015,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-2.0,-1.1,-0.0211,1.5,1.7,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2296,-0.2368,7.2,0,-300.4,-155.3,2.7973,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-1.3,-0.4,-0.0040,1.1,0.8,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2216,-0.2281,6.5,0,-300.5,-155.1,2.8018,-300.8,-155.4,2.7963,0.0,0.0,0.0000,-0.9,-1.0,-0.0220,0.5,1.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
