t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad
-0.2917,-0.2940,2.2,0,-392.0,-833.2,1.3459,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.1,1.0,-0.0162,1.0,0.1,0,0.0,0.0,0.0000
-0.2832,-0.2854,2.2,0,-391.7,-832.6,1.3571,-391.9,-832.9,1.3419,0.0,0.0,0.0000,-0.7,-0.8,-0.0608,-0.9,0.5,0,0.0,0.0,0.0000
-0.2754,-0.2776,2.2,0,-392.2,-833.2,1.3499,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.9,0.8,-0.0321,1.0,-0.7,0,0.0,0.0,0.0000
-0.2681,-0.2682,0.0,0,-392.0,-832.8,1.3506,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.2,-0.4,-0.0351,-0.4,-0.3,0,0.0,0.0,0.0000
-0.2596,-0.2608,1.2,0,-391.9,-832.8,1.3630,-391.9,-832.9,1.3419,0.0,0.0,0.0000,-0.0,-0.4,-0.0844,-0.4,-0.0,0,0.0,0.0,0.0000
-0.2520,-0.2520,0.0,0,-391.7,-832.7,1.3602,-391.9,-832.9,1.3419,0.0,0.0,0.0000,-0.6,-0.7,-0.0732,-0.8,0.4,0,0.0,0.0,0.0000
-0.2436,-0.2437,0.0,0,-392.0,-833.0,1.3509,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.3,0.4,-0.0360,0.5,-0.2,0,0.0,0.0,0.0000
-0.2361,-0.2437,7.6,0,-392.0,-833.0,1.3509,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.3,0.4,-0.0360,0.5,-0.2,0,0.0,0.0,0.0000
-0.2281,-0.2343,6.2,0,-392.2,-833.2,1.3497,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.9,1.0,-0.0315,1.2,-0.7,0,0.0,0.0,0.0000
-0.2192,-0.2268,7.6,0,-392.3,-833.1,1.3516,-391.9,-832.9,1.3419,0.0,0.0,0.0000,1.2,0.6,-0.0391,0.9,-1.1,0,0.0,0.0,0.0000
-0.2115,-0.2180,6.5,0,-392.0,-833.2,1.3450,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.2,1.0,-0.0124,1.0,-0.0,0,0.0,0.0,0.0000
-0.2034,-0.2098,6.4,0,-392.3,-833.1,1.3452,-391.9,-832.9,1.3419,0.0,0.0,0.0000,1.2,0.6,-0.0135,0.8,-1.1,0,0.0,0.0,0.0000
-0.1950,-0.1989,3.9,0,-392.2,-833.1,1.3495,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.9,0.6,-0.0304,0.8,-0.8,0,0.0,0.0,0.0000
-0.1876,-0.1923,4.7,0,-392.2,-833.1,1.3476,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.7,0.7,-0.0231,0.8,-0.5,0,0.0,0.0,0.0000
-0.1798,-0.1841,4.3,0,-392.0,-833.1,1.3446,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.3,0.7,-0.0108,0.8,-0.2,0,0.0,0.0,0.0000
-0.1720,-0.1759,3.8,0,-391.7,-832.7,1.3634,-391.9,-832.9,1.3419,0.0,0.0,0.0000,-0.6,-0.7,-0.0861,-0.8,0.4,0,0.0,0.0,0.0000
-0.1628,-0.1656,2.8,0,-392.4,-833.1,1.3482,-391.9,-832.9,1.3419,0.0,0.0,0.0000,1.5,0.6,-0.0252,0.9,-1.4,0,0.0,0.0,0.0000
-0.1553,-0.1587,3.4,0,-392.1,-833.1,1.3423,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.5,0.6,-0.0016,0.8,-0.4,0,0.0,0.0,0.0000
-0.1477,-0.1506,2.9,0,-392.2,-833.1,1.3443,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.9,0.7,-0.0095,0.9,-0.7,0,0.0,0.0,0.0000
-0.1391,-0.1417,2.6,0,-392.0,-833.2,1.3536,-391.9,-832.9,1.3419,0.0,0.0,0.0000,0.2,0.9,-0.0471,1.0,0.0,0,0.0,0.0,0.0000
-0.1320,-0.1321,0.1,0,-392.3,-833.1,1.3498,-391.9,-832.9,1.3419,0.0,0.0,0.0000,1.0,0.5,-0.0318,0.7,-0.9,0,0.0,0.0,0.0000
-0.1241,-0.1254,1.2,0,-392.3,-833.0,1.3515,-391.9,-832.9,1.3419,0.0,0.0,0.0000,1.1,0.3,-0.0387,0.5,-1.1,0,0.0,0.0,0.0000
-0.1162,-0.1163,0.1,0,-392.3,-833.4,1.3524,-391.9,-832.9,1.3419,0.0,0.0,0.0000,1.3,1.6,-0.0421,1.8,-0.9,0,0.0,0.0,0.0000
-0.1079,-0.1080,0.1,0,-391.8,-833.2,1.3523,-391.9,-832.9,1.3419,0.0,0.0,0.0000,-0.5,1.0,-0.0417,0.9,0.7,0,0.0,0.0,0.0000
