t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2941,-0.2982,4.2,0,11.9,-1794.2,2.6243,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,0.5,0.0497,-0.6,-0.8,0,0.0,0.0,0.0000,0.24,-0.20,-0.29,-0.38
-0.2856,-0.2982,12.7,0,11.9,-1794.2,2.6243,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,0.5,0.0497,-0.6,-0.8,0,0.0,0.0,0.0000,0.18,0.37,-0.14,-0.02
-0.2779,-0.2807,2.8,0,11.9,-1794.4,2.6224,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.8,1.1,0.0573,-0.1,-1.4,0,0.0,0.0,0.0000,-0.03,0.01,0.30,-0.26
-0.2692,-0.2715,2.3,0,11.9,-1793.8,2.6311,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.8,-0.7,0.0223,-1.0,0.2,0,0.0,0.0,0.0000,0.14,-0.17,0.42,-0.11
-0.2619,-0.2631,1.2,0,12.0,-1794.2,2.6278,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.6,0.4,0.0354,-0.3,-0.6,0,0.0,0.0,0.0000,0.42,-0.20,-0.33,0.08
-0.2535,-0.2546,1.2,0,11.9,-1793.8,2.6312,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.8,-0.6,0.0219,-1.0,0.1,0,0.0,0.0,0.0000,-1.08,-0.49,-0.13,-0.13
-0.2459,-0.2461,0.2,0,12.1,-1793.7,2.6352,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.2,-0.9,0.0059,-0.6,0.7,0,0.0,0.0,0.0000,-0.03,0.19,-0.25,0.09
-0.2375,-0.2376,0.1,0,11.9,-1793.5,2.6288,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,-1.4,0.0317,-1.5,0.8,0,0.0,0.0,0.0000,0.47,-0.09,0.04,0.31
-0.2299,-0.2376,7.6,0,11.9,-1793.5,2.6288,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,-1.4,0.0317,-1.5,0.8,0,0.0,0.0,0.0000,0.00,0.13,0.09,0.00
-0.2217,-0.2292,7.4,0,11.9,-1794.2,2.6208,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,0.6,0.0635,-0.5,-0.9,0,0.0,0.0,0.0000,0.44,0.10,0.00,-0.01
-0.2132,-0.2207,7.5,0,12.0,-1794.2,2.6282,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.6,0.6,0.0340,-0.2,-0.8,0,0.0,0.0,0.0000,0.38,0.25,-0.07,0.27
-0.2059,-0.2122,6.3,0,11.9,-1793.9,2.6282,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,-0.2,0.0338,-0.9,-0.3,0,0.0,0.0,0.0000,0.48,0.43,0.21,-0.21
-0.1978,-0.2036,5.8,0,11.9,-1794.5,2.6298,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,1.5,0.0277,-0.1,-1.8,0,0.0,0.0,0.0000,-0.17,0.23,-0.07,-0.03
-0.1900,-0.1953,5.2,0,11.9,-1793.8,2.6291,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.0,-0.6,0.0304,-1.1,0.0,0,0.0,0.0,0.0000,0.20,-0.28,0.10,0.00
-0.1815,-0.1869,5.4,0,11.8,-1793.7,2.6230,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.3,-1.1,0.0549,-1.7,0.3,0,0.0,0.0,0.0000,0.25,-0.35,0.08,0.38
-0.1740,-0.1785,4.5,0,11.7,-1794.3,2.6127,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.4,0.8,0.0958,-0.8,-1.4,0,0.0,0.0,0.0000,-0.30,0.03,0.06,0.32
-0.1657,-0.1701,4.4,0,12.1,-1794.3,2.6298,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.2,0.9,0.0277,0.2,-0.9,0,0.0,0.0,0.0000,0.15,-0.01,-0.04,-0.36
-0.1571,-0.1617,4.6,0,12.0,-1794.0,2.6319,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.6,-0.0,0.0193,-0.6,-0.3,0,0.0,0.0,0.0000,-0.09,0.11,-0.06,-0.04
-0.1495,-0.1531,3.6,0,12.0,-1793.6,2.6295,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.7,-1.3,0.0289,-1.2,0.8,0,0.0,0.0,0.0000,0.36,0.18,-0.02,-0.18
-0.1411,-0.1446,3.4,0,12.1,-1793.9,2.6385,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.4,-0.3,-0.0071,-0.5,0.1,0,0.0,0.0,0.0000,0.11,-0.04,0.00,-0.09
-0.1340,-0.1364,2.5,0,11.9,-1793.7,2.6287,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,-0.9,0.0318,-1.2,0.3,0,0.0,0.0,0.0000,0.27,0.09,0.10,-0.34
-0.1251,-0.1277,2.6,0,11.8,-1794.2,2.6311,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.3,0.6,0.0222,-0.8,-1.2,0,0.0,0.0,0.0000,-0.06,-0.12,-0.06,0.07
-0.1178,-0.1191,1.2,0,11.5,-1793.6,2.6238,12.2,-1794.0,2.6367,0.0,0.0,0.0000,2.0,-1.4,0.0516,-2.4,0.2,0,0.0,0.0,0.0000,-0.77,0.12,-0.10,-0.18
-0.1095,-0.1108,1.2,0,11.7,-1794.5,2.6288,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.4,1.3,0.0315,-0.6,-1.9,0,0.0,0.0,0.0000,0.41,0.13,-0.02,0.22
-0.1010,-0.1025,1.5,0,11.7,-1794.2,2.6275,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.4,0.7,0.0368,-0.9,-1.3,0,0.0,0.0,0.0000,0.20,0.06,0.11,0.30
-0.0934,-0.0935,0.1,0,12.0,-1793.2,2.6188,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.7,-2.4,0.0715,-1.9,1.7,0,0.0,0.0,0.0000,-0.56,-0.24,-0.12,-0.14
-0.0860,-0.0935,7.5,0,12.0,-1793.2,2.6188,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.7,-2.4,0.0715,-1.9,1.7,0,0.0,0.0,0.0000,0.85,-0.01,-0.14,0.12
-0.0778,-0.0854,7.6,0,12.1,-1793.8,2.6325,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.4,-0.7,0.0335,-0.7,0.4,0,0.0,0.0,0.0000,-0.23,0.27,-0.03,0.15
-0.0695,-0.0763,6.8,0,11.7,-1793.9,2.6276,12.2,-1794.0,2.6367,0.0,0.0,0.0000,1.5,-0.2,0.0816,-1.4,-0.5,0,0.0,0.0,0.0000,0.06,-0.50,0.08,0.10
-0.0612,-0.0685,7.3,0,12.3,-1793.5,2.6327,12.2,-1794.0,2.6367,0.0,0.0,0.0000,-0.3,-1.4,0.0878,-0.4,1.4,0,0.0,0.0,0.0000,0.17,0.23,-0.05,0.02
-0.0533,-0.0600,6.8,0,12.1,-1794.1,2.6323,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.2,0.3,0.1133,-0.1,-0.3,0,0.0,0.0,0.0000,-0.88,0.11,0.12,0.40
-0.0452,-0.0514,6.1,0,12.0,-1793.8,2.6184,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.8,-0.7,0.1925,-1.0,0.2,0,0.0,0.0,0.0000,0.37,-0.22,0.29,0.21
-0.0375,-0.0431,5.6,0,11.9,-1793.6,2.6247,12.2,-1794.0,2.6367,0.0,0.0,0.0000,0.9,-1.1,0.1902,-1.4,0.5,0,0.0,0.0,0.0000,0.21,0.10,0.25,-0.13
