t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2920,-0.2931,1.1,0,-1035.9,-1244.9,1.5083,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,-0.1,0.8,0.0070,0.8,0.2
-0.2842,-0.2931,9.0,0,-1035.9,-1244.9,1.5083,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,-0.1,0.8,0.0070,0.8,0.2
-0.2760,-0.2845,8.5,0,-1036.2,-1245.0,1.5045,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,0.7,1.2,0.0220,1.3,-0.6
-0.2676,-0.2676,0.1,0,-1036.0,-1244.6,1.5087,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,0.1,-0.0,0.0054,-0.0,-0.1
-0.2593,-0.2676,8.3,0,-1036.0,-1244.6,1.5087,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,0.1,-0.0,0.0054,-0.0,-0.1
-0.2516,-0.2593,7.7,0,-1035.8,-1244.6,1.5073,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,-0.4,0.0,0.0107,-0.0,0.4
-0.2433,-0.2508,7.5,0,-1036.1,-1244.5,1.5075,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,0.5,-0.3,0.0100,-0.2,-0.5
-0.2355,-0.2423,6.8,0,-1036.0,-1244.2,1.5059,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,0.3,-1.1,0.0164,-1.1,-0.4
-0.2273,-0.2336,6.3,0,-1036.2,-1244.5,1.5152,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,0.7,-0.2,-0.0209,-0.2,-0.7
-0.2196,-0.2252,5.6,0,-1036.4,-1244.8,1.5126,-1035.9,-1244.6,1.5100,0.0,0.0,0.0000,1.4,0.5,-0.0103,0.6,-1.4
