t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2925,-0.2998,7.3,0,-175.4,14.4,-3.0664,-175.4,14.6,-3.0604,0.0,0.0,0.0000,0.1,0.6,0.0242,-0.1,-0.5,0,0.0,0.0,0.0000,0.15,0.24,-0.09,-0.07
-0.2848,-0.2921,7.3,0,-175.4,14.6,-3.0602,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.0,0.1,-0.0007,0.0,-0.1,0,0.0,0.0,0.0000,0.00,-0.43,0.11,-0.28
-0.2774,-0.2817,4.3,0,-175.0,14.6,-3.0619,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-1.1,-0.1,0.0061,1.1,0.1,0,0.0,0.0,0.0000,-0.12,-0.14,0.04,-0.12
-0.2692,-0.2744,5.2,0,-175.3,14.6,-3.0621,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.1,-0.0,0.0067,0.1,0.0,0,0.0,0.0,0.0000,0.33,-0.29,-0.12,0.00
-0.2611,-0.2665,5.3,0,-175.2,14.6,-3.0623,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.6,0.0,0.0076,0.6,-0.1,0,0.0,0.0,0.0000,-0.30,0.12,0.00,-0.09
-0.2525,-0.2567,4.2,0,-175.3,14.6,-3.0645,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.3,0.0,0.0166,0.3,-0.1,0,0.0,0.0,0.0000,0.14,0.29,0.19,-0.10
-0.2450,-0.2492,4.2,0,-175.4,14.6,-3.0635,-175.4,14.6,-3.0604,0.0,0.0,0.0000,0.2,-0.1,0.0126,-0.2,0.1,0,0.0,0.0,0.0000,-0.44,-0.01,-0.12,0.16
-0.2374,-0.2406,3.2,0,-175.2,14.5,-3.0650,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.5,0.2,0.0183,0.4,-0.3,0,0.0,0.0,0.0000,0.24,0.05,0.32,0.37
-0.2287,-0.2319,3.2,0,-175.0,14.4,-3.0634,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-1.0,0.6,0.0122,0.9,-0.6,0,0.0,0.0,0.0000,0.60,0.02,-0.37,-0.09
-0.2211,-0.2234,2.3,0,-175.2,14.8,-3.0606,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.5,-0.5,0.0011,0.6,0.4,0,0.0,0.0,0.0000,-0.39,-0.28,0.02,0.13
-0.2128,-0.2151,2.3,0,-175.2,14.4,-3.0599,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.4,0.5,-0.0018,0.3,-0.6,0,0.0,0.0,0.0000,-0.13,-0.28,-0.57,0.04
-0.2053,-0.2065,1.2,0,-175.4,14.5,-3.0600,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.0,0.2,-0.0014,-0.0,-0.2,0,0.0,0.0,0.0000,0.26,-0.08,-0.25,-0.06
-0.1966,-0.1980,1.4,0,-175.0,14.7,-3.0628,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-1.1,-0.2,0.0096,1.1,0.2,0,0.0,0.0,0.0000,-0.32,0.29,0.22,-0.16
-0.1894,-0.1895,0.1,0,-175.2,14.6,-3.0604,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.4,0.0,0.0001,0.4,-0.1,0,0.0,0.0,0.0000,-0.64,0.38,0.48,0.07
-0.1813,-0.1814,0.1,0,-175.1,14.6,-3.0621,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.9,-0.0,0.0070,0.9,-0.1,0,0.0,0.0,0.0000,-0.31,-0.04,0.13,0.00
-0.1727,-0.1728,0.1,0,-175.1,14.6,-3.0658,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.7,-0.2,0.0219,0.7,0.1,0,0.0,0.0,0.0000,0.23,-0.32,0.10,-0.10
-0.1646,-0.1728,8.1,0,-175.1,14.6,-3.0658,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.7,-0.2,0.0219,0.7,0.1,0,0.0,0.0,0.0000,0.15,0.00,-0.08,-0.37
-0.1569,-0.1633,6.4,0,-175.3,14.6,-3.0605,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.1,-0.1,0.0004,0.1,0.1,0,0.0,0.0,0.0000,0.02,-0.27,0.04,0.17
-0.1494,-0.1558,6.4,0,-175.3,14.3,-3.0603,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.3,0.8,-0.0002,0.2,-0.8,0,0.0,0.0,0.0000,0.34,0.00,-0.01,0.19
-0.1405,-0.1473,6.7,0,-175.2,14.6,-3.0615,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-0.4,-0.1,0.0046,0.4,0.1,0,0.0,0.0,0.0000,-0.35,0.13,-0.04,0.32
-0.1329,-0.1385,5.6,0,-175.0,14.3,-3.0642,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-1.0,1.0,0.0153,0.9,-1.0,0,0.0,0.0,0.0000,0.20,0.19,0.09,-0.11
-0.1252,-0.1306,5.3,0,-175.0,14.5,-3.0634,-175.4,14.6,-3.0604,0.0,0.0,0.0000,-1.0,0.1,0.0122,1.0,-0.2,0,0.0,0.0,0.0000,-0.45,-0.16,-0.09,-0.30
