t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2935,-0.3035,10.0,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.09,0.05,0.25,0.33
-0.2852,-0.3035,18.2,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.00,0.16,-0.08,0.55
-0.2780,-0.3035,25.5,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.28,0.06,0.02,0.24
-0.2697,-0.3035,33.7,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.04,-0.15,0.00,-0.37
-0.2613,-0.3035,42.2,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.58,-0.33,-0.14,-0.31
-0.2530,-0.3035,50.4,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.29,0.00,0.18,0.15
-0.2455,-0.3035,57.9,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.12,-0.07,0.52,-0.42
-0.2372,-0.3035,66.3,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.12,-0.28,-0.30,-0.09
-0.2296,-0.3035,73.9,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.34,-0.19,-0.15,0.20
-0.2213,-0.3035,82.2,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.06,0.00,-0.05,0.29
-0.2136,-0.3035,89.9,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.32,0.25,0.43,0.04
-0.2053,-0.3035,98.2,0,-496.7,590.5,-2.0658,-496.7,590.5,-2.0658,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.08,-0.04,0.27,-0.02
-0.1974,-0.2012,3.8,0,-497.0,590.4,-2.0667,-496.7,590.5,-2.0658,0.0,0.0,0.0000,1.0,0.4,0.0035,-0.8,0.7,0,0.0,0.0,0.0000,0.04,0.13,-0.12,-0.28
-0.1892,-0.2012,12.0,0,-497.0,590.4,-2.0667,-496.7,590.5,-2.0658,0.0,0.0,0.0000,1.0,0.4,0.0035,-0.8,0.7,0,0.0,0.0,0.0000,-0.10,0.02,0.48,0.24
-0.1816,-0.2012,19.6,0,-497.0,590.4,-2.0667,-496.7,590.5,-2.0658,0.0,0.0,0.0000,1.0,0.4,0.0035,-0.8,0.7,0,0.0,0.0,0.0000,-0.07,0.24,-0.28,0.13
-0.1737,-0.2012,27.5,0,-497.0,590.4,-2.0667,-496.7,590.5,-2.0658,0.0,0.0,0.0000,1.0,0.4,0.0035,-0.8,0.7,0,0.0,0.0,0.0000,0.03,-0.49,-0.20,-0.05
