t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2958,-0.3001,4.2,0,11.8,-1794.1,2.6274,11.8,-1794.1,2.6274,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,-0.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2878,-0.2939,6.1,0,12.0,-1793.4,2.6277,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.6,-2.0,-0.0013,-0.5,2.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2803,-0.2836,3.3,0,11.6,-1793.7,2.6288,11.8,-1794.1,2.6274,0.0,0.0,0.0000,0.4,-1.3,-0.0059,-1.0,1.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2717,-0.2752,3.5,0,11.8,-1794.3,2.6329,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.1,0.7,-0.0223,0.4,-0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2642,-0.2666,2.3,0,12.0,-1793.5,2.6235,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.6,-1.8,0.0153,-0.4,1.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2560,-0.2583,2.3,0,11.9,-1794.0,2.6230,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.3,-0.3,0.0173,0.1,0.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2482,-0.2517,3.5,0,12.0,-1794.1,2.6301,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.6,0.1,-0.0108,0.5,0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2400,-0.2413,1.2,0,11.6,-1793.7,2.6196,11.8,-1794.1,2.6274,0.0,0.0,0.0000,0.4,-1.3,0.0309,-1.0,0.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2317,-0.2330,1.2,0,12.4,-1794.4,2.6337,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-1.8,0.9,-0.0253,2.0,0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2232,-0.2245,1.2,0,11.8,-1794.1,2.6264,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.2,-0.1,0.0038,0.1,0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2158,-0.2245,8.6,0,11.8,-1794.1,2.6264,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.2,-0.1,0.0038,0.1,0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2075,-0.2076,0.1,0,11.6,-1794.1,2.6198,11.8,-1794.1,2.6274,0.0,0.0,0.0000,0.4,-0.1,0.0301,-0.4,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2000,-0.2076,7.7,0,11.6,-1794.1,2.6198,11.8,-1794.1,2.6274,0.0,0.0,0.0000,0.4,-0.1,0.0301,-0.4,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1915,-0.1990,7.5,0,11.8,-1794.1,2.6290,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.2,-0.1,-0.0067,0.1,0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1838,-0.1905,6.8,0,12.1,-1793.7,2.6342,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-1.0,-1.2,-0.0274,0.3,1.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1755,-0.1812,5.7,0,11.8,-1794.1,2.6191,11.8,-1794.1,2.6274,0.0,0.0,0.0000,-0.2,-0.1,0.0330,0.1,0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
