t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2935,-0.2997,6.2,0,149.0,-869.9,1.6546,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.9,-1.2,0.0361,-1.3,-0.8
-0.2849,-0.2881,3.2,0,149.7,-870.2,1.6599,149.3,-870.3,1.6636,0.0,0.0,0.0000,-1.3,-0.3,0.0149,-0.2,1.3
-0.2773,-0.2808,3.4,0,149.3,-870.3,1.6639,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.2,-0.0,-0.0012,-0.0,0.2
-0.2688,-0.2730,4.2,0,149.4,-870.3,1.6635,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.4,0.2,0.0006,0.2,0.3
-0.2611,-0.2646,3.5,0,149.2,-870.2,1.6590,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.1,-0.3,0.0183,-0.3,-0.1
-0.2538,-0.2549,1.1,0,149.0,-870.3,1.6583,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.8,-0.1,0.0213,-0.2,-0.8
-0.2451,-0.2463,1.2,0,149.2,-870.3,1.6596,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.2,-0.1,0.0159,-0.1,-0.2
-0.2369,-0.2391,2.2,0,149.1,-870.2,1.6603,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.7,-0.3,0.0130,-0.4,-0.7
-0.2293,-0.2307,1.4,0,149.4,-870.3,1.6593,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.4,-0.1,0.0173,-0.0,0.4
-0.2217,-0.2218,0.0,0,149.2,-869.9,1.6708,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.3,-1.3,-0.0288,-1.3,-0.2
-0.2138,-0.2138,0.0,0,149.4,-869.9,1.6570,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.4,-1.1,0.0263,-1.1,0.5
-0.2054,-0.2138,8.4,0,149.4,-869.9,1.6570,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.4,-1.1,0.0263,-1.1,0.5
-0.1972,-0.2053,8.1,0,149.2,-870.0,1.6598,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.3,-0.9,0.0150,-0.9,-0.3
-0.1891,-0.1965,7.4,0,149.1,-870.0,1.6621,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.7,-0.8,0.0059,-0.9,-0.6
-0.1812,-0.1868,5.6,0,149.2,-870.0,1.6634,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.4,-0.9,0.0008,-1.0,-0.3
-0.1726,-0.1764,3.8,0,149.8,-870.0,1.6561,149.3,-870.3,1.6636,0.0,0.0,0.0000,-1.5,-0.8,0.0299,-0.7,1.5
-0.1652,-0.1712,6.0,0,149.1,-869.8,1.6647,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.4,-1.4,-0.0045,-1.4,-0.3
-0.1568,-0.1612,4.3,0,149.6,-870.4,1.6587,149.3,-870.3,1.6636,0.0,0.0,0.0000,-1.0,0.2,0.0196,0.3,1.0
-0.1497,-0.1542,4.5,0,149.1,-870.5,1.6633,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.6,0.5,0.0013,0.5,-0.6
-0.1418,-0.1461,4.4,0,149.4,-870.1,1.6608,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.4,-0.6,0.0112,-0.6,0.4
-0.1336,-0.1377,4.1,0,148.8,-870.2,1.6598,149.3,-870.3,1.6636,0.0,0.0,0.0000,1.4,-0.2,0.0152,-0.3,-1.4
-0.1254,-0.1290,3.6,0,149.0,-870.2,1.6623,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.9,-0.3,0.0051,-0.4,-0.9
-0.1171,-0.1206,3.5,0,149.6,-870.3,1.6667,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.8,-0.0,-0.0125,0.1,0.8
-0.1095,-0.1110,1.5,0,149.8,-870.0,1.6571,149.3,-870.3,1.6636,0.0,0.0,0.0000,-1.6,-0.7,0.0261,-0.6,1.7
-0.1017,-0.1037,2.0,0,149.5,-870.2,1.6652,149.3,-870.3,1.6636,0.0,0.0,0.0000,-0.5,-0.2,-0.0064,-0.2,0.5
-0.0937,-0.0949,1.3,0,148.9,-870.3,1.6609,149.3,-870.3,1.6636,0.0,0.0,0.0000,1.2,0.1,0.0110,0.0,-1.2
-0.0857,-0.0870,1.3,0,149.2,-870.0,1.6571,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.2,-1.0,0.0262,-1.0,-0.1
-0.0771,-0.0870,9.9,0,149.2,-870.0,1.6571,149.3,-870.3,1.6636,0.0,0.0,0.0000,0.2,-1.0,0.0262,-1.0,-0.1
