t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2932,-0.2983,5.2,0,-547.2,-1136.4,1.5011,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.9,-0.0,-0.0083,-0.1,0.9
-0.2849,-0.2899,5.0,0,-547.3,-1136.5,1.5000,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.8,0.1,-0.0038,0.0,0.8
-0.2772,-0.2814,4.3,0,-547.2,-1136.4,1.5004,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.9,0.0,-0.0058,-0.1,0.9
-0.2687,-0.2731,4.4,0,-547.2,-1136.9,1.5037,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.9,1.3,-0.0188,1.3,0.9
-0.2614,-0.2626,1.2,0,-547.2,-1136.6,1.5017,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-1.0,0.6,-0.0106,0.6,1.0
-0.2535,-0.2561,2.6,0,-547.3,-1136.0,1.5014,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.7,-1.3,-0.0094,-1.3,0.6
-0.2449,-0.2474,2.5,0,-547.5,-1136.3,1.4973,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.1,-0.3,0.0067,-0.3,0.1
-0.2368,-0.2392,2.3,0,-547.4,-1136.5,1.5025,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.3,0.2,-0.0140,0.2,0.4
-0.2284,-0.2285,0.1,0,-547.1,-1136.6,1.5031,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-1.3,0.4,-0.0163,0.3,1.3
-0.2208,-0.2220,1.3,0,-547.2,-1136.5,1.5022,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-1.1,0.3,-0.0129,0.2,1.1
-0.2128,-0.2141,1.3,0,-547.3,-1136.5,1.5037,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.6,0.3,-0.0187,0.2,0.6
-0.2051,-0.2052,0.1,0,-547.2,-1136.4,1.5042,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.9,0.0,-0.0210,-0.0,0.9
-0.1976,-0.2052,7.6,0,-547.2,-1136.4,1.5042,-547.5,-1136.4,1.4990,0.0,0.0,0.0000,-0.9,0.0,-0.0204,-0.0,0.9
