t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2989,-0.3022,3.3,0,-388.1,-832.0,1.3125,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0
-0.2908,-0.2972,6.4,0,-388.6,-832.5,1.3058,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.5,1.5,0.0271,1.8,-1.0
-0.2835,-0.2972,13.7,0,-388.6,-832.5,1.3058,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.5,1.5,0.0271,1.8,-1.0
-0.2754,-0.2812,5.8,0,-388.1,-831.9,1.3163,-388.1,-832.0,1.3125,0.0,0.0,0.0000,-0.1,-0.3,-0.0151,-0.3,0.0
-0.2671,-0.2724,5.3,0,-388.3,-832.4,1.3063,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.3,1.0,0.0249,1.1,-0.1
-0.2592,-0.2616,2.4,0,-388.5,-832.4,1.3139,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.1,1.2,-0.0054,1.4,-0.8
-0.2514,-0.2549,3.4,0,-388.5,-832.2,1.3085,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.2,0.5,0.0162,0.8,-1.0
-0.2435,-0.2471,3.6,0,-388.3,-831.9,1.3215,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.4,-0.3,-0.0359,-0.2,-0.5
-0.2348,-0.2386,3.8,0,-388.5,-832.3,1.3119,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.9,0.7,0.0024,0.9,-0.7
-0.2269,-0.2282,1.3,0,-388.2,-832.3,1.3079,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.2,0.9,0.0184,0.9,0.1
-0.2189,-0.2212,2.3,0,-388.5,-832.4,1.3098,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.1,1.1,0.0111,1.3,-0.8
-0.2108,-0.2132,2.5,0,-387.8,-831.9,1.3234,-388.1,-832.0,1.3125,0.0,0.0,0.0000,-0.9,-0.5,-0.0433,-0.7,0.7
-0.2031,-0.2132,10.1,0,-387.8,-831.9,1.3234,-388.1,-832.0,1.3125,0.0,0.0,0.0000,-0.9,-0.5,-0.0433,-0.7,0.7
-0.1947,-0.1995,4.7,0,-388.5,-832.3,1.3083,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.0,0.9,0.0171,1.2,-0.7
-0.1874,-0.1875,0.1,0,-388.2,-832.1,1.3154,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.1,0.1,-0.0114,0.2,-0.0
-0.1792,-0.1794,0.1,0,-388.2,-832.0,1.3114,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.2,-0.1,0.0046,-0.1,-0.2
-0.1711,-0.1712,0.1,0,-388.7,-832.3,1.3111,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.6,1.0,0.0058,1.3,-1.3
-0.1630,-0.1712,8.2,0,-388.7,-832.3,1.3111,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.6,1.0,0.0058,1.3,-1.3
-0.1549,-0.1587,3.7,0,-388.7,-832.3,1.3064,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.6,0.9,0.0247,1.3,-1.3
-0.1468,-0.1538,7.0,0,-388.8,-832.4,1.3084,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.9,1.3,0.0166,1.7,-1.5
-0.1389,-0.1456,6.7,0,-388.3,-832.2,1.3173,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.4,0.7,-0.0192,0.8,-0.2
-0.1306,-0.1367,6.2,0,-388.6,-832.3,1.3054,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.3,0.9,0.0285,1.2,-1.0
-0.1235,-0.1278,4.4,0,-388.4,-832.6,1.3068,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.6,1.8,0.0229,1.9,-0.2
-0.1147,-0.1205,5.8,0,-388.6,-832.2,1.3165,-388.1,-832.0,1.3125,0.0,0.0,0.0000,1.4,0.6,-0.0158,1.0,-1.2
-0.1072,-0.1119,4.7,0,-388.1,-832.1,1.3176,-388.1,-832.0,1.3125,0.0,0.0,0.0000,-0.2,0.1,-0.0204,0.1,0.3
-0.0992,-0.1032,4.0,0,-388.8,-832.4,1.3122,-388.1,-832.0,1.3125,0.0,0.0,0.0000,2.0,1.3,0.0015,1.7,-1.6
-0.0916,-0.0948,3.2,0,-388.4,-832.4,1.3107,-388.1,-832.0,1.3125,0.0,0.0,0.0000,0.9,1.2,0.0075,1.4,-0.6
-0.0825,-0.0863,3.8,0,-388.3,-831.8,1.3197,-388.1,-832.0,1.3125,0.0,0.0,0.0000,2.1,5.4,-0.0287,5.8,-0.7
-0.0748,-0.0773,2.5,0,-388.3,-832.2,1.3187,-388.1,-832.0,1.3125,0.0,0.0,0.0000,2.5,8.0,-0.0248,8.4,-0.4
-0.0670,-0.0695,2.4,0,-388.7,-832.5,1.3066,-388.1,-832.0,1.3125,0.0,0.0,0.0000,6.1,18.6,0.0237,19.5,-1.0
-0.0594,-0.0609,1.5,0,-388.9,-831.6,1.3177,-388.1,-832.0,1.3125,0.0,0.0,0.0000,8.7,23.1,-0.0206,24.5,-2.7
-0.0509,-0.0524,1.5,0,-388.5,-831.8,1.3211,-388.1,-832.0,1.3125,0.0,0.0,0.0000,9.7,32.3,-0.0342,33.7,-1.5
-0.0432,-0.0434,0.1,0,-388.8,-832.3,1.3044,-388.1,-832.0,1.3125,0.0,0.0,0.0000,12.6,41.4,0.0327,43.2,-1.2
-0.0354,-0.0355,0.1,0,-388.2,-831.8,1.3207,-388.1,-832.0,1.3125,0.0,0.0,0.0000,12.8,47.6,-0.0325,49.3,-0.7
