t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2913,-0.2965,5.2,0,12.0,-1794.1,2.6339,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.3,2.2,-0.0365,1.3,-1.8,0,0.0,0.0,0.0000,0.00,-0.11,-0.06,0.08
-0.2839,-0.2881,4.1,0,11.9,-1793.6,2.6291,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.0,0.5,-0.0174,0.2,-0.4,0,0.0,0.0,0.0000,0.72,-0.25,-0.01,0.10
-0.2759,-0.2780,2.1,0,11.7,-1793.6,2.6216,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.7,0.5,0.0128,-0.3,-0.7,0,0.0,0.0,0.0000,0.43,-0.06,-0.05,-0.03
-0.2672,-0.2694,2.2,0,11.4,-1793.8,2.6254,11.9,-1793.4,2.6248,0.0,0.0,0.0000,1.4,1.3,-0.0024,-0.6,-1.8,0,0.0,0.0,0.0000,0.26,0.23,-0.14,0.18
-0.2597,-0.2609,1.2,0,12.0,-1793.9,2.6341,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.3,1.5,-0.0373,1.0,-1.2,0,0.0,0.0,0.0000,0.12,0.40,0.01,0.00
-0.2514,-0.2525,1.2,0,12.1,-1793.9,2.6323,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.5,1.6,-0.0301,1.2,-1.2,0,0.0,0.0,0.0000,-0.43,0.11,-0.02,-0.01
-0.2430,-0.2441,1.1,0,12.0,-1793.6,2.6313,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.1,0.6,-0.0263,0.4,-0.5,0,0.0,0.0,0.0000,0.08,-0.11,0.00,-0.05
-0.2357,-0.2358,0.0,0,11.6,-1794.0,2.6313,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.8,1.9,-0.0260,0.2,-2.0,0,0.0,0.0,0.0000,-0.35,0.06,-0.09,-0.11
-0.2272,-0.2273,0.1,0,12.0,-1794.0,2.6306,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.3,1.9,-0.0231,1.2,-1.5,0,0.0,0.0,0.0000,-0.36,-0.23,0.12,-0.31
-0.2195,-0.2273,7.7,0,12.0,-1794.0,2.6306,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.3,1.9,-0.0231,1.2,-1.5,0,0.0,0.0,0.0000,0.23,0.15,0.05,0.03
-0.2113,-0.2188,7.5,0,12.1,-1793.6,2.6317,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.4,0.7,-0.0277,0.7,-0.4,0,0.0,0.0,0.0000,0.02,0.07,0.07,0.16
-0.2039,-0.2102,6.3,0,12.2,-1793.8,2.6322,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-1.0,1.2,-0.0299,1.4,-0.6,0,0.0,0.0,0.0000,0.14,-0.37,-0.18,-0.03
-0.1960,-0.2018,5.8,0,12.1,-1793.9,2.6419,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.5,1.5,-0.0686,1.2,-1.0,0,0.0,0.0,0.0000,-0.26,0.62,0.34,0.21
-0.1874,-0.1927,5.3,0,12.3,-1793.7,2.6314,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-1.1,0.9,-0.0265,1.4,-0.3,0,0.0,0.0,0.0000,0.34,-0.13,-0.07,0.03
-0.1796,-0.1850,5.3,0,11.8,-1794.1,2.6280,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.4,2.2,-0.0130,0.8,-2.1,0,0.0,0.0,0.0000,0.03,-0.01,0.19,0.02
-0.1712,-0.1765,5.3,0,11.9,-1793.7,2.6294,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.0,0.7,-0.0186,0.4,-0.6,0,0.0,0.0,0.0000,0.36,-0.21,0.07,-0.31
-0.1633,-0.1679,4.6,0,11.8,-1793.8,2.6293,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.4,1.0,-0.0183,0.2,-1.1,0,0.0,0.0,0.0000,-0.13,0.16,-0.10,0.06
-0.1548,-0.1594,4.6,0,12.0,-1794.0,2.6331,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.3,1.8,-0.0335,1.2,-1.4,0,0.0,0.0,0.0000,-0.03,-0.20,-0.12,-0.20
-0.1475,-0.1510,3.5,0,11.9,-1793.8,2.6286,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.0,1.1,-0.0153,0.5,-1.0,0,0.0,0.0,0.0000,-0.15,0.13,-0.10,0.20
-0.1390,-0.1426,3.6,0,11.6,-1793.6,2.6203,11.9,-1793.4,2.6248,0.0,0.0,0.0000,1.1,0.7,0.0179,-0.6,-1.1,0,0.0,0.0,0.0000,-0.19,-0.20,-0.33,0.11
-0.1313,-0.1339,2.6,0,12.0,-1794.2,2.6351,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.1,2.5,-0.0412,1.3,-2.1,0,0.0,0.0,0.0000,-0.32,0.05,0.08,-0.04
-0.1234,-0.1257,2.3,0,11.8,-1793.7,2.6273,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.3,1.0,-0.0101,0.3,-1.0,0,0.0,0.0,0.0000,-0.70,-0.39,0.15,-0.14
-0.1150,-0.1175,2.5,0,11.8,-1793.8,2.6296,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.5,1.0,-0.0192,0.1,-1.1,0,0.0,0.0,0.0000,0.30,0.34,-0.08,-0.05
-0.1073,-0.1087,1.4,0,11.9,-1793.8,2.6269,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.1,1.2,-0.0083,0.5,-1.1,0,0.0,0.0,0.0000,-0.26,-0.07,-0.12,0.21
-0.0995,-0.0999,0.4,0,11.8,-1794.0,2.6276,11.9,-1793.4,2.6248,0.0,0.0,0.0000,0.3,1.8,-0.0112,0.6,-1.7,0,0.0,0.0,0.0000,0.14,0.21,-0.05,0.22
-0.0914,-0.0926,1.2,0,12.1,-1793.8,2.6299,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-0.5,1.1,-0.0205,1.0,-0.7,0,0.0,0.0,0.0000,0.57,-0.02,0.54,-0.19
-0.0840,-0.0841,0.1,0,11.7,-1793.7,2.6211,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-5.7,4.6,0.0146,7.2,-1.1,0,0.0,0.0,0.0000,0.31,0.00,0.20,0.01
-0.0754,-0.0841,8.7,0,11.7,-1793.7,2.6211,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-5.6,4.5,0.0146,7.1,-1.1,0,0.0,0.0,0.0000,-0.12,0.07,-0.05,0.08
-0.0677,-0.0752,7.5,0,12.1,-1793.7,2.6288,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-15.5,9.3,-0.0160,18.1,-0.5,0,0.0,0.0,0.0000,-0.80,-0.66,0.00,-0.12
-0.0589,-0.0664,7.6,0,12.1,-1794.0,2.6354,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-23.0,14.5,-0.0425,27.2,-1.5,0,0.0,0.0,0.0000,-0.32,0.29,-0.24,-0.06
-0.0520,-0.0579,5.9,0,11.8,-1794.0,2.6233,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-28.4,17.8,0.0057,33.5,-1.4,0,0.0,0.0,0.0000,0.11,0.09,-0.23,0.03
-0.0431,-0.0496,6.5,0,11.7,-1793.5,2.6215,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-36.2,20.3,0.0129,41.6,0.4,0,0.0,0.0,0.0000,-0.01,0.12,-0.30,-0.09
-0.0359,-0.0413,5.4,0,12.1,-1794.0,2.6260,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-43.5,25.5,-0.0050,50.5,-0.7,0,0.0,0.0,0.0000,0.43,0.00,0.08,-0.07
-0.0268,-0.0323,5.6,0,12.1,-1793.5,2.6288,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-51.8,28.5,-0.0163,59.1,0.5,0,0.0,0.0,0.0000,-0.34,0.09,0.15,-0.01
-0.0197,-0.0242,4.5,0,12.0,-1794.2,2.6356,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-57.2,34.0,-0.0433,66.5,-2.0,0,0.0,0.0,0.0000,0.37,-0.15,0.25,0.20
-0.0109,-0.0158,4.9,0,12.2,-1793.8,2.6360,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-65.5,37.3,-0.0449,75.3,-0.9,0,0.0,0.0,0.0000,0.09,-0.09,0.16,0.05
-0.0033,-0.0071,3.8,0,11.6,-1793.7,2.6307,11.9,-1793.4,2.6248,0.0,0.0,0.0000,-70.4,40.7,-0.0237,81.3,-1.1,0,0.0,0.0,0.0000,-0.15,-0.10,0.19,0.13
0.0040,0.0017,2.3,0,12.2,-1793.7,2.6263,11.9,-1793.4,2.6248,-5.9,3.3,0.0000,-78.6,44.6,-0.0060,90.4,-0.1,0,0.0,0.0,0.0000,-0.50,-0.19,-0.14,0.31
0.0123,0.0099,2.4,0,12.3,-1793.9,2.6285,11.9,-1793.4,2.6248,-6.5,3.7,-0.0000,-86.4,48.4,-0.0149,99.0,0.2,0,0.0,0.0,0.0000,-0.71,-0.42,0.02,0.56
0.0203,0.0179,2.4,0,12.3,-1793.8,2.6320,11.8,-1793.3,2.6248,-15.4,8.8,-0.0000,-93.8,51.6,-0.0290,107.0,0.7,0,0.0,0.0,0.0000,-0.37,-0.52,0.48,0.64
0.0280,0.0266,1.5,0,11.8,-1793.8,2.6276,11.6,-1793.2,2.6248,-22.8,13.0,-0.0000,-100.1,55.3,-0.0114,114.4,1.0,0,0.0,0.0,0.0000,-0.45,-0.84,0.05,0.43
0.0366,0.0354,1.3,0,11.7,-1794.0,2.6235,11.4,-1793.1,2.6248,-30.9,17.0,0.0000,-108.6,59.9,0.0052,124.0,1.7,0,0.0,0.0,0.0000,-1.10,-0.74,0.42,0.94
0.0445,0.0433,1.3,0,12.1,-1794.1,2.6322,11.1,-1793.0,2.6248,-38.0,20.8,-0.0000,-117.5,64.7,-0.0299,134.1,0.8,0,0.0,0.0,0.0000,-0.82,-0.63,0.06,0.67
0.0520,0.0519,0.1,0,11.8,-1794.2,2.6323,10.7,-1792.8,2.6248,-45.7,25.2,-0.0000,-124.5,69.1,-0.0300,142.4,0.4,0,0.0,0.0,0.0000,-0.66,-1.11,0.33,0.47
