t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2933,-0.2997,6.3,0,149.3,-870.1,1.6406,148.9,-870.1,1.6453,0.0,0.0,0.0000,-1.2,-0.0,0.0189,0.1,1.2
-0.2857,-0.2909,5.3,0,149.0,-870.1,1.6465,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.1,0.1,-0.0047,0.1,0.1
-0.2779,-0.2812,3.3,0,149.3,-870.4,1.6398,148.9,-870.1,1.6453,0.0,0.0,0.0000,-1.0,0.8,0.0220,0.9,0.9
-0.2692,-0.2725,3.3,0,149.0,-869.8,1.6398,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.1,-0.8,0.0221,-0.8,0.1
-0.2617,-0.2640,2.3,0,149.1,-869.9,1.6378,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.6,-0.5,0.0300,-0.5,0.6
-0.2542,-0.2554,1.2,0,148.8,-870.0,1.6396,148.9,-870.1,1.6453,0.0,0.0,0.0000,0.3,-0.4,0.0230,-0.4,-0.3
-0.2453,-0.2554,10.1,0,148.8,-870.0,1.6396,148.9,-870.1,1.6453,0.0,0.0,0.0000,0.3,-0.4,0.0230,-0.4,-0.3
-0.2380,-0.2393,1.2,0,149.2,-870.2,1.6390,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.9,0.4,0.0252,0.5,0.9
-0.2300,-0.2301,0.1,0,149.0,-870.3,1.6410,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.2,0.6,0.0172,0.6,0.2
-0.2215,-0.2216,0.1,0,149.0,-870.1,1.6422,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.1,-0.1,0.0126,-0.1,0.1
-0.2140,-0.2216,7.6,0,149.0,-870.1,1.6422,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.1,-0.1,0.0126,-0.1,0.1
-0.2062,-0.2134,7.2,0,149.7,-870.1,1.6385,148.9,-870.1,1.6453,0.0,0.0,0.0000,-2.4,-0.0,0.0271,0.2,2.4
-0.1976,-0.2043,6.7,0,149.2,-870.0,1.6397,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.7,-0.3,0.0223,-0.2,0.7
-0.1896,-0.1963,6.7,0,149.2,-870.0,1.6371,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.8,-0.4,0.0328,-0.3,0.9
-0.1821,-0.1876,5.5,0,149.0,-870.2,1.6417,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.3,0.2,0.0146,0.3,0.2
-0.1734,-0.1795,6.0,0,149.1,-869.9,1.6457,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.4,-0.5,-0.0015,-0.4,0.4
-0.1654,-0.1700,4.6,0,148.9,-870.1,1.6456,148.9,-870.1,1.6453,0.0,0.0,0.0000,0.1,-0.0,-0.0010,-0.0,-0.1
-0.1578,-0.1621,4.3,0,149.8,-869.7,1.6428,148.9,-870.1,1.6453,0.0,0.0,0.0000,-2.5,-1.1,0.0102,-1.0,2.6
-0.1497,-0.1541,4.4,0,149.0,-869.9,1.6409,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.2,-0.6,0.0178,-0.6,0.2
-0.1422,-0.1446,2.4,0,149.2,-870.1,1.6424,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.9,0.0,0.0119,0.1,0.9
-0.1338,-0.1370,3.3,0,148.8,-869.8,1.6422,148.9,-870.1,1.6453,0.0,0.0,0.0000,0.5,-0.9,0.0123,-1.0,-0.4
-0.1258,-0.1291,3.3,0,149.2,-870.1,1.6440,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.8,0.0,0.0055,0.1,0.8
-0.1176,-0.1190,1.4,0,149.0,-870.2,1.6438,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.2,0.2,0.0062,0.2,0.2
-0.1093,-0.1115,2.3,0,148.9,-870.2,1.6461,148.9,-870.1,1.6453,0.0,0.0,0.0000,0.0,0.2,-0.0029,0.2,-0.0
-0.1019,-0.1115,9.6,0,148.9,-870.2,1.6461,148.9,-870.1,1.6453,0.0,0.0,0.0000,0.0,0.2,-0.0029,0.2,-0.0
-0.0931,-0.0946,1.4,0,149.0,-870.2,1.6431,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.3,0.3,0.0091,0.3,0.3
-0.0861,-0.0946,8.4,0,149.0,-870.2,1.6431,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.3,0.3,0.0091,0.3,0.3
-0.0771,-0.0784,1.2,0,149.4,-870.5,1.6405,148.9,-870.1,1.6453,0.0,0.0,0.0000,-1.5,1.1,0.0191,1.2,1.4
-0.0693,-0.0694,0.1,0,149.0,-870.2,1.6443,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.3,0.3,0.0041,0.3,0.2
-0.0620,-0.0694,7.4,0,149.0,-870.2,1.6443,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.3,0.3,0.0041,0.3,0.2
-0.0533,-0.0609,7.7,0,149.6,-870.0,1.6350,148.9,-870.1,1.6453,0.0,0.0,0.0000,-2.0,-0.4,0.0412,-0.2,2.1
-0.0453,-0.0503,5.1,0,149.1,-870.2,1.6464,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.4,0.3,-0.0043,0.3,0.4
-0.0379,-0.0439,6.0,0,149.4,-870.1,1.6433,148.9,-870.1,1.6453,0.0,0.0,0.0000,-1.4,-0.1,0.0082,-0.0,1.4
-0.0294,-0.0359,6.5,0,149.3,-870.3,1.6455,148.9,-870.1,1.6453,0.0,0.0,0.0000,-1.0,0.7,-0.0007,0.8,0.9
-0.0222,-0.0269,4.7,0,149.2,-870.0,1.6474,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.7,-0.3,-0.0085,-0.3,0.7
-0.0133,-0.0166,3.4,0,149.0,-869.9,1.6413,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.0,-0.7,0.0160,-0.7,0.1
-0.0056,-0.0103,4.7,0,149.1,-870.3,1.6448,148.9,-870.1,1.6453,0.0,0.0,0.0000,-0.5,0.6,0.0021,0.7,0.5
0.0020,0.0018,0.1,0,149.4,-869.9,1.6391,148.9,-870.1,1.6453,-0.5,6.6,-0.0000,-2.0,5.9,0.0249,6.0,1.6
0.0098,0.0063,3.5,0,149.2,-870.1,1.6422,148.9,-870.1,1.6453,-0.4,5.6,-0.0000,-1.5,7.6,0.0127,7.7,0.9
