t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2985,-0.3001,1.5,0,-917.6,-1602.2,1.6214,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,-0.0
-0.2911,-0.2933,2.2,0,-917.5,-1602.4,1.6213,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,-0.2,0.6,0.0006,0.6,0.2
-0.2827,-0.2868,4.1,0,-917.8,-1602.0,1.6302,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.7,-0.6,-0.0352,-0.6,-0.7
-0.2750,-0.2772,2.2,0,-917.6,-1602.3,1.6253,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.2,0.3,-0.0156,0.3,-0.2
-0.2667,-0.2772,10.5,0,-917.6,-1602.3,1.6253,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.2,0.3,-0.0156,0.3,-0.2
-0.2587,-0.2620,3.3,0,-917.9,-1602.4,1.6294,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,1.2,0.8,-0.0320,0.7,-1.2
-0.2510,-0.2520,1.0,0,-917.6,-1602.1,1.6324,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.2,-0.1,-0.0441,-0.1,-0.2
-0.2425,-0.2436,1.1,0,-918.0,-1602.3,1.6270,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,1.3,0.4,-0.0225,0.3,-1.3
-0.2346,-0.2436,9.0,0,-918.0,-1602.3,1.6270,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,1.3,0.4,-0.0225,0.3,-1.3
-0.2265,-0.2265,0.1,0,-917.6,-1602.2,1.6246,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.1,0.1,-0.0129,0.1,-0.1
-0.2188,-0.2199,1.2,0,-917.8,-1602.5,1.6270,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.7,0.8,-0.0222,0.8,-0.7
-0.2105,-0.2116,1.1,0,-917.9,-1602.2,1.6272,-917.6,-1602.2,1.6214,0.0,0.0,0.0000,0.9,0.2,-0.0230,0.1,-0.9
