t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2919,-0.2941,2.2,0,-300.5,-155.2,2.8049,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-0.5,-0.9,-0.0490,0.2,1.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2842,-0.2853,1.1,0,-300.6,-155.3,2.8022,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-0.1,-0.5,-0.0384,-0.1,0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2758,-0.2853,9.5,0,-300.6,-155.3,2.8022,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-0.1,-0.5,-0.0384,-0.1,0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2677,-0.2688,1.1,0,-300.5,-155.6,2.7973,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-0.6,0.4,-0.0187,0.7,-0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2604,-0.2688,8.5,0,-300.5,-155.6,2.7973,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-0.6,0.4,-0.0187,0.7,-0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2518,-0.2519,0.0,0,-300.8,-155.5,2.7982,-300.7,-155.5,2.7926,0.0,0.0,0.0000,0.3,0.0,-0.0225,-0.3,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2442,-0.2519,7.6,0,-300.8,-155.5,2.7982,-300.7,-155.5,2.7926,0.0,0.0,0.0000,0.3,0.0,-0.0225,-0.3,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2358,-0.2411,5.3,0,-300.3,-155.1,2.7990,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-1.1,-1.1,-0.0256,0.7,1.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2277,-0.2331,5.4,0,-300.3,-155.4,2.7947,-300.7,-155.5,2.7926,0.0,0.0,0.0000,-1.3,-0.2,-0.0084,1.1,0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2203,-0.2257,5.4,0,-300.8,-155.4,2.7935,-300.7,-155.5,2.7926,0.0,0.0,0.0000,0.3,-0.2,-0.0034,-0.3,0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
