t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2921,-0.2963,4.1,0,-300.6,-154.8,2.7960,-300.3,-154.8,2.8050,0.0,0.0,0.0000,0.9,0.2,0.0361,-0.8,-0.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2842,-0.2884,4.2,0,-300.4,-155.1,2.7986,-300.3,-154.8,2.8050,0.0,0.0,0.0000,0.3,1.1,0.0256,0.1,-1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2771,-0.2802,3.1,0,-300.1,-155.0,2.7983,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.7,0.6,0.0268,0.8,-0.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2691,-0.2715,2.4,0,-300.3,-155.0,2.7978,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.0,0.7,0.0287,0.3,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2609,-0.2632,2.3,0,-300.3,-155.2,2.7980,-300.3,-154.8,2.8050,0.0,0.0,0.0000,0.1,1.4,0.0281,0.3,-1.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2527,-0.2550,2.3,0,-300.6,-155.1,2.7877,-300.3,-154.8,2.8050,0.0,0.0,0.0000,1.0,1.0,0.0693,-0.5,-1.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2449,-0.2472,2.3,0,-300.5,-155.4,2.7857,-300.3,-154.8,2.8050,0.0,0.0,0.0000,0.6,1.8,0.0773,0.0,-1.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2365,-0.2377,1.2,0,-300.2,-154.9,2.8002,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.3,0.5,0.0194,0.4,-0.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2290,-0.2290,0.1,0,-300.6,-155.2,2.7997,-300.3,-154.8,2.8050,0.0,0.0,0.0000,1.0,1.4,0.0212,-0.5,-1.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2211,-0.2212,0.1,0,-300.6,-155.2,2.7961,-300.3,-154.8,2.8050,0.0,0.0,0.0000,1.0,1.2,0.0357,-0.5,-1.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2127,-0.2212,8.5,0,-300.6,-155.2,2.7961,-300.3,-154.8,2.8050,0.0,0.0,0.0000,1.0,1.2,0.0357,-0.5,-1.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2041,-0.2119,7.7,0,-300.3,-155.0,2.8023,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.1,0.6,0.0109,0.3,-0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1965,-0.2039,7.3,0,-300.1,-155.1,2.7994,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.6,1.0,0.0226,0.9,-0.7,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1890,-0.1956,6.6,0,-300.2,-154.7,2.8027,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.3,-0.1,0.0091,0.2,0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1805,-0.1871,6.7,0,-300.0,-155.1,2.7979,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.8,0.9,0.0285,1.1,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1730,-0.1787,5.6,0,-300.1,-154.7,2.7981,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.6,-0.2,0.0274,0.5,0.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1641,-0.1699,5.7,0,-300.1,-154.9,2.8045,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.7,0.4,0.0022,0.8,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1563,-0.1617,5.5,0,-300.3,-154.5,2.8040,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.0,-0.6,0.0042,-0.2,0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1488,-0.1535,4.7,0,-300.2,-154.7,2.7956,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.2,-0.3,0.0375,0.1,0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1408,-0.1448,4.0,0,-300.2,-155.0,2.8004,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.2,0.7,0.0183,0.5,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1326,-0.1359,3.3,0,-300.2,-154.9,2.7991,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.2,0.6,0.0237,0.4,-0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1248,-0.1284,3.6,0,-300.1,-154.9,2.8011,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.7,0.5,0.0156,0.8,-0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1169,-0.1195,2.6,0,-299.9,-155.1,2.7974,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-1.1,1.1,0.0303,1.4,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1084,-0.1195,11.1,0,-299.9,-155.1,2.7974,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-1.1,1.1,0.0303,1.4,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1003,-0.1026,2.3,0,-300.0,-154.6,2.8006,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-0.9,-0.4,0.0175,0.7,0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.0928,-0.0944,1.6,0,-300.0,-155.1,2.7985,-300.3,-154.8,2.8050,0.0,0.0,0.0000,-1.0,1.0,0.0261,1.3,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
