t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2990,-0.3012,2.2,0,12.2,-1792.9,2.6302,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,-0.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2908,-0.2929,2.2,0,11.7,-1793.6,2.6246,12.2,-1792.9,2.6302,0.0,0.0,0.0000,1.3,1.9,0.0227,-0.2,-2.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2826,-0.2929,10.4,0,11.7,-1793.6,2.6246,12.2,-1792.9,2.6302,0.0,0.0,0.0000,1.3,1.9,0.0227,-0.2,-2.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2740,-0.2761,2.2,0,12.0,-1793.5,2.6284,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.4,1.8,0.0074,0.5,-1.8,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2665,-0.2677,1.1,0,12.0,-1792.8,2.6315,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.4,-0.5,-0.0051,-0.6,0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2590,-0.2590,0.1,0,12.0,-1793.3,2.6296,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.6,1.1,0.0025,0.1,-1.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2507,-0.2590,8.4,0,12.0,-1793.3,2.6296,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.6,1.1,0.0025,0.1,-1.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2421,-0.2422,0.1,0,12.1,-1792.8,2.6268,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.3,-0.5,0.0137,-0.5,0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2348,-0.2422,7.4,0,12.1,-1792.8,2.6268,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.3,-0.5,0.0137,-0.5,0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2265,-0.2291,2.6,0,12.0,-1793.1,2.6272,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.5,0.6,0.0123,-0.2,-0.8,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2183,-0.2250,6.7,0,12.0,-1793.1,2.6328,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.7,0.4,-0.0103,-0.4,-0.7,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2101,-0.2146,4.5,0,12.4,-1792.8,2.6386,12.2,-1792.9,2.6302,0.0,0.0,0.0000,-0.5,-0.4,-0.0335,0.3,0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2020,-0.2085,6.5,0,11.6,-1793.0,2.6227,12.2,-1792.9,2.6302,0.0,0.0,0.0000,1.7,0.1,0.0302,-1.4,-0.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1949,-0.1999,5.0,0,12.6,-1792.8,2.6418,12.2,-1792.9,2.6302,0.0,0.0,0.0000,-1.3,-0.5,-0.0462,0.9,1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1861,-0.1915,5.4,0,12.0,-1792.9,2.6303,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.5,-0.1,-0.0003,-0.5,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1783,-0.1812,2.9,0,12.0,-1792.8,2.6295,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.6,-0.4,0.0028,-0.7,0.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1706,-0.1743,3.7,0,12.1,-1793.1,2.6276,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.2,0.6,0.0105,0.1,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1628,-0.1640,1.3,0,12.2,-1792.9,2.6218,12.2,-1792.9,2.6302,0.0,0.0,0.0000,-0.1,-0.2,0.0336,-0.0,0.3,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1542,-0.1574,3.3,0,12.1,-1793.0,2.6329,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.4,0.3,-0.0107,-0.2,-0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1467,-0.1479,1.2,0,12.3,-1793.0,2.6273,12.2,-1792.9,2.6302,0.0,0.0,0.0000,-0.2,0.2,0.0119,0.3,-0.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1385,-0.1408,2.3,0,11.9,-1793.1,2.6265,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.7,0.5,0.0150,-0.4,-0.8,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1300,-0.1408,10.8,0,11.9,-1793.1,2.6265,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.7,0.5,0.0150,-0.4,-0.8,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1222,-0.1237,1.4,0,12.4,-1792.9,2.6318,12.2,-1792.9,2.6302,0.0,0.0,0.0000,-0.6,-0.3,-0.0062,0.4,0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1148,-0.1237,8.9,0,12.4,-1792.9,2.6318,12.2,-1792.9,2.6302,0.0,0.0,0.0000,-0.6,-0.3,-0.0062,0.4,0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1068,-0.1069,0.1,0,12.1,-1792.4,2.6199,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.4,-1.5,0.0412,-1.1,1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.0988,-0.1069,8.1,0,12.1,-1792.4,2.6199,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.4,-1.5,0.0412,-1.1,1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.0908,-0.0983,7.5,0,12.1,-1793.1,2.6321,12.2,-1792.9,2.6302,0.0,0.0,0.0000,0.3,0.5,-0.0073,-0.0,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
