t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad
-0.2999,-0.3042,4.3,0,-392.3,-829.5,1.3522,-392.3,-829.5,1.3522,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000
-0.2920,-0.2973,5.3,0,-391.9,-829.6,1.3395,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-1.4,0.4,0.0510,0.1,1.5,0,0.0,0.0,0.0000
-0.2844,-0.2865,2.1,0,-391.9,-829.7,1.3375,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-1.2,0.6,0.0589,0.3,1.3,0,0.0,0.0,0.0000
-0.2760,-0.2794,3.3,0,-391.9,-829.9,1.3383,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-1.2,1.2,0.0556,0.9,1.5,0,0.0,0.0,0.0000
-0.2684,-0.2717,3.3,0,-392.1,-829.7,1.3459,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-0.7,0.7,0.0252,0.6,0.9,0,0.0,0.0,0.0000
-0.2602,-0.2625,2.4,0,-392.5,-829.5,1.3473,-392.3,-829.5,1.3522,0.0,0.0,0.0000,0.3,-0.0,0.0197,0.1,-0.3,0,0.0,0.0,0.0000
-0.2529,-0.2540,1.2,0,-392.1,-829.5,1.3448,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-0.8,0.2,0.0295,-0.0,0.8,0,0.0,0.0,0.0000
-0.2443,-0.2540,9.8,0,-392.1,-829.5,1.3448,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-0.8,0.2,0.0295,-0.0,0.8,0,0.0,0.0,0.0000
-0.2367,-0.2368,0.1,0,-392.1,-829.8,1.3398,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-0.6,0.9,0.0498,0.8,0.8,0,0.0,0.0,0.0000
-0.2284,-0.2285,0.1,0,-392.1,-829.8,1.3392,-392.3,-829.5,1.3522,0.0,0.0,0.0000,-0.6,0.8,0.0521,0.6,0.8,0,0.0,0.0,0.0000
