t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2938,-0.3014,7.5,0,-1036.2,-1244.8,1.5085,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0
-0.2859,-0.2936,7.6,0,-1036.1,-1244.4,1.5082,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-0.3,-1.2,0.0015,-1.2,0.2
-0.2772,-0.2825,5.3,0,-1036.1,-1244.5,1.5066,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-0.5,-0.9,0.0076,-1.0,0.4
-0.2693,-0.2755,6.1,0,-1036.3,-1244.6,1.5024,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,0.2,-0.6,0.0246,-0.5,-0.3
-0.2620,-0.2673,5.3,0,-1035.8,-1244.5,1.5102,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-1.5,-0.9,-0.0068,-0.9,1.4
-0.2530,-0.2576,4.7,0,-1035.8,-1244.6,1.5178,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-1.3,-0.6,-0.0369,-0.7,1.3
-0.2451,-0.2508,5.7,0,-1036.0,-1244.6,1.5064,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-0.8,-0.6,0.0085,-0.7,0.8
-0.2379,-0.2413,3.5,0,-1036.0,-1244.6,1.5108,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-0.7,-0.7,-0.0089,-0.7,0.6
-0.2292,-0.2335,4.3,0,-1036.3,-1244.8,1.5150,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,0.1,0.1,-0.0258,0.1,-0.1
-0.2215,-0.2249,3.4,0,-1036.3,-1244.4,1.4989,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,0.2,-1.3,0.0385,-1.3,-0.3
-0.2132,-0.2156,2.4,0,-1036.5,-1244.6,1.5121,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,0.9,-0.5,-0.0142,-0.5,-0.9
-0.2048,-0.2077,2.9,0,-1036.3,-1244.7,1.5140,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,0.2,-0.3,-0.0220,-0.2,-0.2
-0.1979,-0.1993,1.5,0,-1036.0,-1244.8,1.5120,-1036.2,-1244.8,1.5085,0.0,0.0,0.0000,-0.7,0.1,-0.0136,0.0,0.7
