t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2918,-0.2980,6.2,0,-641.5,-1297.1,1.4486,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.0,0.6,-0.0062,0.6,0.1
-0.2844,-0.2896,5.2,0,-641.6,-1296.8,1.4482,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.2,-0.4,-0.0046,-0.4,-0.2
-0.2760,-0.2803,4.3,0,-641.4,-1296.8,1.4470,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.2,-0.2,-0.0001,-0.2,0.2
-0.2685,-0.2697,1.1,0,-641.7,-1296.9,1.4467,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.5,-0.0,0.0011,0.1,-0.5
-0.2603,-0.2635,3.2,0,-641.8,-1297.0,1.4469,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.9,0.3,0.0006,0.4,-0.9
-0.2521,-0.2521,0.0,0,-641.7,-1297.1,1.4479,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.7,0.5,-0.0038,0.6,-0.7
-0.2439,-0.2462,2.4,0,-641.5,-1296.9,1.4471,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.1,-0.1,-0.0002,-0.1,0.1
-0.2366,-0.2378,1.2,0,-641.9,-1297.2,1.4448,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,1.1,0.8,0.0090,1.0,-1.0
-0.2281,-0.2292,1.2,0,-641.9,-1297.0,1.4522,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,1.1,0.3,-0.0208,0.4,-1.0
-0.2199,-0.2292,9.4,0,-641.9,-1297.0,1.4522,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,1.1,0.3,-0.0208,0.4,-1.0
-0.2124,-0.2181,5.7,0,-642.0,-1297.2,1.4449,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,1.5,0.8,0.0085,1.0,-1.4
-0.2045,-0.2058,1.2,0,-641.2,-1297.1,1.4471,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-1.0,0.7,-0.0003,0.6,1.1
-0.1959,-0.2058,9.8,0,-641.2,-1297.1,1.4471,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-1.0,0.7,-0.0003,0.6,1.1
-0.1877,-0.1951,7.4,0,-641.6,-1297.2,1.4506,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.4,1.0,-0.0145,1.0,-0.3
-0.1799,-0.1847,4.7,0,-641.8,-1296.8,1.4395,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,1.0,-0.4,0.0301,-0.2,-1.0
-0.1716,-0.1783,6.7,0,-641.8,-1296.9,1.4456,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.8,-0.1,0.0055,-0.0,-0.8
-0.1638,-0.1700,6.2,0,-641.6,-1296.8,1.4477,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.3,-0.4,-0.0027,-0.4,-0.3
-0.1562,-0.1616,5.4,0,-641.7,-1297.0,1.4464,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.7,0.3,0.0025,0.4,-0.7
-0.1477,-0.1509,3.1,0,-641.7,-1296.8,1.4542,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.6,-0.4,-0.0290,-0.4,-0.6
-0.1400,-0.1446,4.7,0,-641.4,-1296.7,1.4434,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.3,-0.5,0.0145,-0.5,0.2
-0.1315,-0.1363,4.8,0,-641.4,-1296.9,1.4462,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.3,-0.0,0.0031,-0.1,0.3
-0.1235,-0.1280,4.6,0,-641.3,-1296.7,1.4484,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.5,-0.7,-0.0057,-0.7,0.4
-0.1163,-0.1177,1.4,0,-641.4,-1296.7,1.4473,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,-0.4,-0.5,-0.0012,-0.5,0.3
-0.1085,-0.1109,2.4,0,-641.6,-1296.7,1.4472,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.4,-0.5,-0.0007,-0.4,-0.4
-0.1000,-0.1036,3.6,0,-641.5,-1296.8,1.4445,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.1,-0.3,0.0100,-0.3,-0.2
-0.0913,-0.0940,2.7,0,-641.5,-1296.9,1.4456,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,0.0,-0.0,0.0056,-0.0,-0.0
-0.0842,-0.0843,0.1,0,-641.9,-1296.8,1.4483,-641.5,-1296.9,1.4470,0.0,0.0,0.0000,1.1,-0.4,-0.0053,-0.2,-1.1
