t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2936,-0.3264,32.7,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.27,-0.04,2.55,0.16
-0.2856,-0.3264,40.8,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.09,-0.13,0.54,0.01
-0.2769,-0.3264,49.5,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.06,-0.21,-0.35,0.12
-0.2687,-0.3264,57.7,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.41,0.27,0.32,0.24
-0.2611,-0.3264,65.3,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.18,0.03,-0.09,-0.31
-0.2535,-0.3264,72.9,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.93,-0.20,-0.07,-0.03
-0.2457,-0.3264,80.7,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,-0.11,-0.09,0.29,-0.38
-0.2371,-0.3264,89.2,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.52,-0.04,-0.11,0.03
-0.2296,-0.3264,96.8,0,-500.6,589.9,-2.0691,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.0,0.0,0.0000,-0.0,0.0,0,0.0,0.0,0.0000,0.00,-0.83,0.52,0.21
-0.2214,-0.2228,1.4,0,-500.8,589.7,-2.0698,-500.6,589.9,-2.0691,0.0,0.0,0.0000,0.3,0.8,0.0026,-0.9,-0.1,0,0.0,0.0,0.0000,0.18,-0.19,0.26,-0.13
