t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2991,-0.3073,8.1,0,-392.9,-830.3,1.3652,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.33,0.09,-0.12,0.11
-0.2914,-0.2989,7.5,0,-392.8,-830.1,1.3716,-392.9,-830.3,1.3652,0.0,0.0,0.0000,-0.4,-0.5,-0.0257,-0.5,0.3,0,0.0,0.0,0.0000,-0.37,0.05,-0.15,0.08
-0.2826,-0.2908,8.3,0,-393.1,-830.2,1.3663,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.7,-0.4,-0.0046,-0.2,-0.8,0,0.0,0.0,0.0000,-0.02,-0.34,0.00,0.11
-0.2755,-0.2800,4.5,0,-393.0,-829.8,1.3717,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.3,-1.3,-0.0262,-1.2,-0.5,0,0.0,0.0,0.0000,0.74,0.18,0.03,-0.18
-0.2669,-0.2734,6.5,0,-393.1,-829.9,1.3688,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.5,-1.1,-0.0146,-1.0,-0.7,0,0.0,0.0,0.0000,0.17,-0.06,-0.08,-0.11
-0.2585,-0.2652,6.7,0,-393.1,-829.9,1.3661,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.5,-1.2,-0.0037,-1.0,-0.7,0,0.0,0.0,0.0000,-0.05,-0.10,0.26,0.03
-0.2506,-0.2564,5.8,0,-392.8,-829.6,1.3721,-392.9,-830.3,1.3652,0.0,0.0,0.0000,-0.4,-2.1,-0.0279,-2.2,-0.0,0,0.0,0.0,0.0000,-0.10,-0.14,0.31,-0.18
-0.2434,-0.2459,2.5,0,-393.1,-829.7,1.3704,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.7,-1.7,-0.0211,-1.6,-1.0,0,0.0,0.0,0.0000,0.06,-0.08,0.21,-0.22
-0.2350,-0.2395,4.4,0,-392.4,-830.6,1.3591,-392.9,-830.3,1.3652,0.0,0.0,0.0000,-1.4,1.0,0.0244,0.7,1.6,0,0.0,0.0,0.0000,-0.03,-0.18,-0.40,-0.20
-0.2274,-0.2305,3.1,0,-392.9,-830.0,1.3698,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.0,-0.8,-0.0185,-0.8,-0.2,0,0.0,0.0,0.0000,-0.36,0.11,-0.39,0.18
-0.2192,-0.2225,3.3,0,-393.2,-829.7,1.3680,-392.9,-830.3,1.3652,0.0,0.0,0.0000,1.0,-1.7,-0.0114,-1.5,-1.4,0,0.0,0.0,0.0000,0.17,0.10,-0.03,0.34
-0.2103,-0.2117,1.4,0,-393.1,-830.1,1.3710,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.5,-0.5,-0.0234,-0.4,-0.6,0,0.0,0.0,0.0000,-0.17,0.07,-0.21,0.08
-0.2028,-0.2053,2.5,0,-392.9,-829.9,1.3693,-392.9,-830.3,1.3652,0.0,0.0,0.0000,0.1,-1.1,-0.0168,-1.1,-0.3,0,0.0,0.0,0.0000,0.37,0.00,0.32,0.19
