t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s
-0.2965,-0.2976,1.1,0,-300.6,-155.4,2.7959,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.3,1.2,0.0071,0.7,-1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2893,-0.2976,8.3,0,-300.6,-155.4,2.7959,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.3,1.2,0.0071,0.7,-1.1,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2813,-0.2858,4.4,0,-300.5,-155.4,2.7950,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.6,1.2,0.0104,1.0,-0.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2728,-0.2790,6.3,0,-300.2,-155.4,2.8014,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-1.3,1.3,-0.0150,1.7,-0.8,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2649,-0.2705,5.6,0,-300.2,-155.2,2.8021,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-1.3,0.7,-0.0179,1.5,-0.2,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2568,-0.2620,5.3,0,-300.4,-155.4,2.7970,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.6,1.2,0.0024,1.0,-0.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2487,-0.2532,4.5,0,-300.6,-155.0,2.7982,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.3,0.1,-0.0022,0.3,0.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2407,-0.2450,4.3,0,-300.4,-155.3,2.7961,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.7,0.9,0.0062,0.9,-0.7,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2331,-0.2366,3.5,0,-300.6,-155.0,2.7979,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.2,0.1,-0.0009,0.2,-0.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2241,-0.2278,3.6,0,-300.4,-155.4,2.7981,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.9,1.2,-0.0018,1.3,-0.9,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2172,-0.2185,1.2,0,-300.2,-155.3,2.7970,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-1.3,1.0,0.0024,1.6,-0.5,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2094,-0.2106,1.2,0,-300.5,-155.3,2.8009,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.4,0.8,-0.0132,0.6,-0.6,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.2012,-0.2026,1.4,0,-300.4,-155.2,2.7990,-300.7,-155.0,2.7976,0.0,0.0,0.0000,-0.7,0.7,-0.0057,0.9,-0.4,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
-0.1930,-0.1942,1.2,0,-300.7,-155.3,2.7903,-300.7,-155.0,2.7976,0.0,0.0,0.0000,0.3,1.0,0.0292,0.1,-1.0,0,0.0,0.0,0.0000,0.00,0.00,0.00,0.00
