t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s
-0.2948,-0.3017,6.9,0,-486.0,-1228.1,1.7149,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,-0.0
-0.2863,-0.2937,7.4,0,-486.0,-1227.6,1.7125,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,0.0,-1.5,0.0094,-1.5,0.2
-0.2784,-0.2835,5.2,0,-485.6,-1227.5,1.7167,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-1.0,-1.8,-0.0073,-1.7,1.2
-0.2706,-0.2749,4.3,0,-485.8,-1227.4,1.7201,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.4,-1.9,-0.0208,-1.8,0.7
-0.2623,-0.2665,4.2,0,-486.0,-1227.4,1.7165,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,0.0,-1.9,-0.0066,-1.9,0.2
-0.2549,-0.2581,3.2,0,-485.7,-1227.7,1.7189,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.7,-1.1,-0.0162,-1.0,0.9
-0.2467,-0.2515,4.8,0,-485.9,-1227.3,1.7212,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.2,-2.4,-0.0254,-2.3,0.6
-0.2387,-0.2410,2.3,0,-485.6,-1227.9,1.7156,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-1.0,-0.5,-0.0028,-0.3,1.1
-0.2310,-0.2311,0.1,0,-485.9,-1227.6,1.7176,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.1,-1.4,-0.0111,-1.4,0.3
-0.2224,-0.2236,1.2,0,-485.8,-1227.8,1.7139,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.6,-0.8,0.0038,-0.7,0.7
-0.2144,-0.2156,1.2,0,-486.0,-1227.2,1.7241,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,0.0,-2.8,-0.0371,-2.7,0.4
-0.2067,-0.2069,0.1,0,-485.8,-1227.5,1.7187,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.4,-1.7,-0.0153,-1.6,0.6
-0.1985,-0.1986,0.1,0,-485.7,-1227.8,1.7198,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.7,-1.0,-0.0196,-0.9,0.8
-0.1909,-0.1986,7.7,0,-485.7,-1227.8,1.7198,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.7,-1.0,-0.0196,-0.9,0.8
-0.1831,-0.1904,7.3,0,-485.8,-1228.0,1.7137,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.5,-0.3,0.0045,-0.2,0.5
-0.1751,-0.1820,6.9,0,-486.0,-1227.5,1.7199,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,0.0,-1.6,-0.0201,-1.6,0.2
-0.1669,-0.1733,6.4,0,-485.8,-1228.3,1.7125,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.5,0.8,0.0094,0.8,0.4
-0.1585,-0.1619,3.4,0,-485.6,-1227.7,1.7221,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-1.1,-1.3,-0.0290,-1.1,1.3
-0.1510,-0.1566,5.5,0,-485.9,-1227.5,1.7200,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.3,-1.8,-0.0204,-1.7,0.5
-0.1427,-0.1482,5.4,0,-485.7,-1227.6,1.7207,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.8,-1.6,-0.0232,-1.5,1.0
-0.1352,-0.1397,4.5,0,-485.7,-1227.9,1.7254,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.7,-0.5,-0.0423,-0.4,0.8
-0.1258,-0.1397,13.9,0,-485.7,-1227.9,1.7254,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-0.7,-0.5,-0.0423,-0.4,0.8
-0.1182,-0.1228,4.6,0,-485.9,-1227.5,1.7198,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-1.1,4.9,-0.0198,5.0,0.4
-0.1099,-0.1228,12.8,0,-485.9,-1227.5,1.7198,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-1.3,5.8,-0.0198,5.9,0.4
-0.1025,-0.1061,3.7,0,-485.8,-1227.6,1.7178,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-3.0,15.7,-0.0118,16.0,0.7
-0.0941,-0.1061,12.0,0,-485.8,-1227.6,1.7178,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-4.2,23.8,-0.0118,24.1,0.7
-0.0864,-0.0890,2.6,0,-485.8,-1227.4,1.7207,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-5.6,31.1,-0.0233,31.6,0.9
-0.0784,-0.0890,10.6,0,-485.8,-1227.4,1.7207,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-7.1,39.1,-0.0233,39.7,1.1
-0.0709,-0.0722,1.3,0,-485.7,-1227.8,1.7210,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-8.4,47.9,-0.0246,48.6,1.1
-0.0626,-0.0722,9.6,0,-485.7,-1227.8,1.7210,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-9.6,56.2,-0.0246,57.0,1.0
-0.0549,-0.0550,0.1,0,-485.9,-1227.8,1.7167,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-10.1,63.4,-0.0073,64.2,0.7
-0.0468,-0.0550,8.1,0,-485.9,-1227.8,1.7167,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-11.2,71.2,-0.0073,72.1,0.7
-0.0385,-0.0386,0.1,0,-486.1,-1227.8,1.7084,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-11.8,79.8,0.0258,80.7,0.7
-0.0311,-0.0386,7.5,0,-486.1,-1227.8,1.7084,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-12.9,87.3,0.0258,88.2,0.8
-0.0225,-0.0274,4.9,0,-485.7,-1227.2,1.7214,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-16.1,93.4,-0.0263,94.8,1.9
-0.0143,-0.0207,6.5,0,-485.9,-1227.2,1.7227,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-17.2,101.4,-0.0314,102.9,1.6
-0.0066,-0.0207,14.1,0,-485.9,-1227.2,1.7227,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-19.0,109.2,-0.0314,110.8,2.2
0.0012,-0.0042,5.4,0,-485.8,-1226.8,1.7245,-486.0,-1228.1,1.7149,0.0,0.0,0.0000,-21.2,115.7,-0.0387,117.6,3.3
0.0089,0.0064,2.5,0,-486.2,-1226.4,1.7255,-486.0,-1228.0,1.7149,-0.8,5.6,-0.0000,-21.3,122.4,-0.0425,124.2,2.2
0.0177,0.0129,4.8,0,-486.2,-1226.2,1.7249,-486.0,-1228.0,1.7149,-1.5,10.6,-0.0000,-22.9,130.8,-0.0401,132.8,2.6
0.0254,0.0129,12.6,0,-486.2,-1226.2,1.7249,-486.0,-1228.0,1.7149,-1.5,10.6,-0.0000,-25.6,138.5,-0.0401,140.8,4.1
0.0332,0.0289,4.4,0,-486.0,-1226.0,1.7264,-486.0,-1227.7,1.7149,-4.2,28.3,-0.0000,-28.7,145.9,-0.0463,148.6,5.7
0.0414,0.0402,1.3,0,-485.7,-1225.7,1.7293,-486.1,-1227.3,1.7149,-6.5,39.6,0.0000,-30.8,153.9,-0.0577,156.8,6.2
0.0497,0.0465,3.3,0,-485.7,-1225.6,1.7256,-486.1,-1227.0,1.7149,-7.4,46.0,-0.0000,-33.0,162.5,-0.0430,165.7,7.5
0.0573,0.0550,2.3,0,-485.4,-1225.1,1.7249,-486.2,-1226.6,1.7149,-8.6,54.7,-0.0000,-37.5,169.6,-0.0401,173.3,11.0
0.0649,0.0631,1.9,0,-485.6,-1224.6,1.7225,-486.3,-1226.1,1.7149,-9.7,62.4,0.0000,-40.0,176.9,-0.0306,180.9,12.8
0.0735,0.0734,0.1,0,-485.7,-1224.4,1.7224,-486.4,-1225.4,1.7149,-11.1,72.4,-0.0000,-41.9,186.2,-0.0302,190.4,13.3
0.0818,0.0734,8.3,0,-485.7,-1224.4,1.7224,-486.4,-1225.4,1.7149,-11.1,72.4,-0.0000,-44.3,195.9,-0.0302,200.3,14.2
0.0891,0.0837,5.4,0,-485.7,-1224.0,1.7301,-486.5,-1224.6,1.7149,-12.5,82.9,0.0000,-47.2,203.8,-0.0609,208.8,14.3
0.0978,0.0965,1.3,0,-485.9,-1222.0,1.7255,-486.7,-1223.5,1.7149,-15.1,95.2,-0.0000,-49.8,208.8,-0.0424,213.9,17.1
0.1048,0.0965,8.4,0,-485.9,-1222.0,1.7255,-486.7,-1223.5,1.7149,-15.1,95.2,-0.0000,-53.6,217.2,-0.0424,222.9,19.5
0.1129,0.1071,5.8,0,-485.9,-1220.5,1.7420,-486.8,-1222.4,1.7149,-17.4,105.4,0.0000,-57.9,222.9,-0.1084,229.5,19.1
0.1218,0.1142,7.6,0,-485.4,-1219.8,1.7372,-487.0,-1221.6,1.7149,-19.1,112.5,0.0000,-63.2,231.4,-0.0893,238.7,24.0
0.1296,0.1226,7.0,0,-485.5,-1219.0,1.7378,-487.1,-1220.7,1.7149,-20.9,120.9,0.0000,-66.6,239.0,-0.0919,246.8,25.9
0.1375,0.1311,6.4,0,-485.6,-1218.4,1.7449,-487.3,-1219.6,1.7149,-22.1,129.5,0.0000,-70.5,248.2,-0.1201,256.6,26.5
0.1458,0.1402,5.6,0,-484.9,-1217.4,1.7432,-487.5,-1218.4,1.7149,-24.2,138.4,-0.0000,-77.0,256.6,-0.1134,266.0,31.8
0.1536,0.1482,5.5,0,-485.4,-1215.5,1.7458,-487.7,-1217.2,1.7149,-27.1,145.8,0.0000,-80.1,261.2,-0.1237,271.1,33.4
0.1611,0.1568,4.3,0,-485.3,-1214.7,1.7485,-488.0,-1216.0,1.7149,-29.2,154.0,0.0000,-84.6,268.6,-0.1347,279.4,35.8
0.1690,0.1646,4.4,0,-485.2,-1213.4,1.7491,-488.2,-1214.7,1.7149,-30.3,161.4,-0.0000,-90.2,275.2,-0.1369,286.9,39.9
0.1776,0.1739,3.7,0,-484.7,-1212.2,1.7596,-488.5,-1213.2,1.7149,-33.4,170.4,0.0000,-97.3,283.7,-0.1791,296.9,42.3
0.1854,0.1739,11.5,0,-484.7,-1212.2,1.7596,-488.5,-1213.2,1.7149,-33.4,170.4,0.0000,-102.9,295.0,-0.1791,309.1,45.7
0.1935,0.1901,3.4,0,-483.9,-1209.6,1.7730,-489.1,-1210.3,1.7149,-39.3,186.0,0.0000,-111.3,298.8,-0.2326,315.1,49.0
0.2018,0.1989,2.9,0,-482.9,-1207.9,1.7744,-489.4,-1208.6,1.7149,-41.1,194.3,-0.0000,-120.1,305.2,-0.2382,323.2,55.9
0.2097,0.2074,2.3,0,-484.2,-1205.6,1.7763,-489.8,-1206.9,1.7149,-44.1,202.7,0.0000,-122.0,309.6,-0.2458,327.9,56.3
0.2176,0.2153,2.3,0,-482.5,-1203.6,1.7887,-490.2,-1205.3,1.7149,-46.6,210.5,0.0000,-133.9,315.3,-0.2954,336.8,62.6
0.2254,0.2240,1.4,0,-483.1,-1200.6,1.7920,-490.6,-1203.4,1.7149,-50.6,218.4,-0.0000,-139.1,318.1,-0.3087,340.8,65.9
0.2339,0.2324,1.5,0,-482.1,-1199.2,1.7829,-491.0,-1201.6,1.7149,-54.5,226.2,-0.0000,-149.6,326.3,-0.2720,350.5,77.6
0.2416,0.2415,0.1,0,-481.8,-1196.8,1.7847,-491.5,-1199.5,1.7149,-58.0,234.1,-0.0000,-157.6,330.4,-0.2791,356.3,83.9
0.2491,0.2490,0.1,0,-482.4,-1195.3,1.7790,-492.0,-1197.7,1.7149,-61.0,240.8,-0.0000,-162.8,337.0,-0.2565,363.3,89.6
0.2575,0.2490,8.5,0,-482.4,-1195.3,1.7790,-492.0,-1197.7,1.7149,-61.0,240.8,-0.0000,-170.6,349.5,-0.2565,377.2,94.7
0.2656,0.2578,7.8,0,-482.8,-1192.2,1.7808,-492.5,-1195.5,1.7149,-65.2,249.6,-0.0000,-177.9,353.2,-0.2639,382.5,100.3
0.2738,0.2674,6.5,0,-482.1,-1189.8,1.7721,-493.2,-1193.1,1.7149,-69.5,258.5,0.0000,-188.4,358.3,-0.2289,388.8,113.0
0.2813,0.2744,6.9,0,-482.9,-1186.7,1.7748,-493.7,-1191.3,1.7149,-72.9,264.5,0.0000,-193.4,355.5,-0.2398,387.4,117.3
0.2895,0.2832,6.4,0,-482.3,-1184.0,1.7762,-494.3,-1188.9,1.7149,-77.3,272.2,0.0000,-203.1,355.9,-0.2453,389.8,126.2
0.3034,0.3032,0.2,0,-483.9,-1178.3,1.7574,-496.0,-1183.3,1.7149,-89.0,289.7,-0.0000,-207.9,347.1,-0.1703,379.7,139.9
0.3048,0.3032,1.6,0,-483.9,-1178.3,1.7574,-496.0,-1183.3,1.7149,-89.0,289.7,-0.0000,-208.9,348.0,-0.1703,380.7,140.7
0.3128,0.3084,4.5,0,-483.6,-1175.2,1.7615,-496.5,-1181.8,1.7149,-92.2,294.6,0.0000,-215.4,343.6,-0.1865,378.2,146.4
0.3210,0.3166,4.4,0,-484.7,-1172.1,1.7488,-497.3,-1179.3,1.7149,-97.1,301.7,0.0000,-218.3,339.5,-0.1359,372.8,154.7
0.3290,0.3254,3.6,0,-484.8,-1168.7,1.7540,-498.1,-1176.6,1.7149,-102.0,308.6,0.0000,-224.3,334.8,-0.1565,370.1,159.6
0.3372,0.3337,3.4,0,-485.4,-1165.2,1.7417,-499.0,-1174.0,1.7149,-107.7,315.6,0.0000,-229.0,330.4,-0.1074,364.5,169.4
0.3453,0.3419,3.4,0,-486.0,-1162.6,1.7386,-499.9,-1171.4,1.7149,-113.6,322.6,0.0000,-233.7,327.9,-0.0949,362.4,175.7
0.3533,0.3506,2.8,0,-487.3,-1158.5,1.7468,-500.9,-1168.6,1.7149,-120.1,329.6,-0.0000,-236.5,321.5,-0.1279,358.0,176.5
0.3618,0.3595,2.3,0,-487.1,-1156.1,1.7343,-502.0,-1165.6,1.7149,-126.8,336.8,-0.0000,-244.4,321.2,-0.0777,356.7,188.8
0.3700,0.3674,2.6,0,-488.5,-1151.9,1.7286,-503.1,-1162.9,1.7149,-132.7,342.8,0.0000,-247.3,315.0,-0.0550,350.0,194.8
0.3771,0.3770,0.1,0,-489.8,-1148.9,1.7361,-504.4,-1159.6,1.7149,-139.7,350.0,-0.0000,-249.2,311.0,-0.0850,347.7,194.7
0.3855,0.3854,0.1,0,-492.0,-1144.6,1.7300,-505.6,-1156.7,1.7149,-146.9,357.0,-0.0000,-250.0,304.7,-0.0605,340.5,198.5
0.3933,0.3910,2.3,0,-493.0,-1142.0,1.7170,-506.4,-1154.6,1.7149,-151.5,361.8,-0.0000,-254.3,303.2,-0.0087,337.0,207.4
0.4014,0.4013,0.1,0,-493.8,-1137.7,1.7230,-508.0,-1150.9,1.7149,-159.4,363.6,0.0000,-259.5,296.9,-0.0326,332.9,211.5
0.4092,0.4013,7.9,0,-493.8,-1137.7,1.7230,-508.0,-1150.9,1.7149,-159.4,363.6,0.0000,-267.0,302.5,-0.0326,339.5,218.0
0.4171,0.4094,7.6,0,-495.7,-1133.4,1.7176,-509.3,-1147.9,1.7149,-165.4,365.3,-0.0000,-269.0,295.5,-0.0111,331.7,222.8
0.4256,0.4178,7.8,0,-497.2,-1130.8,1.7334,-510.7,-1144.9,1.7149,-168.9,362.9,0.0000,-272.0,295.3,-0.0741,335.4,220.6
0.4337,0.4266,7.2,0,-499.2,-1127.8,1.7231,-512.2,-1141.7,1.7149,-173.1,361.1,0.0000,-273.5,293.0,-0.0330,331.1,225.9
0.4413,0.4266,14.8,0,-499.2,-1127.8,1.7231,-512.2,-1141.7,1.7149,-173.1,361.1,0.0000,-280.9,298.8,-0.0330,338.0,232.3
0.4498,0.4430,6.8,0,-502.2,-1121.5,1.7112,-515.1,-1135.8,1.7149,-180.1,356.6,-0.0000,-280.2,286.3,0.0146,322.7,237.4
0.4577,0.4519,5.7,0,-504.9,-1117.3,1.7220,-516.7,-1132.6,1.7149,-184.5,354.8,-0.0000,-280.1,278.8,-0.0284,317.8,235.0
0.4650,0.4606,4.5,0,-506.5,-1114.1,1.7181,-518.4,-1129.6,1.7149,-188.7,352.6,0.0000,-282.9,274.0,-0.0131,312.5,239.6
0.4737,0.4606,13.2,0,-506.5,-1114.1,1.7181,-518.4,-1129.6,1.7149,-188.7,352.6,0.0000,-291.8,281.3,-0.0131,321.1,247.3
0.4817,0.4771,4.6,0,-511.8,-1106.7,1.7166,-521.5,-1123.8,1.7149,-196.5,348.3,-0.0000,-284.7,266.9,-0.0068,305.4,242.9
0.4891,0.4771,12.0,0,-511.8,-1106.7,1.7166,-521.5,-1123.8,1.7149,-196.5,348.3,-0.0000,-290.5,270.0,-0.0068,309.4,248.2
0.4971,0.4937,3.4,0,-516.8,-1100.2,1.7104,-524.9,-1118.0,1.7149,-204.3,344.3,0.0000,-283.1,255.9,0.0177,292.8,244.8
0.5053,0.4937,11.6,0,-516.8,-1100.2,1.7104,-524.9,-1118.0,1.7149,-204.3,344.3,0.0000,-292.3,261.1,0.0177,299.3,253.2
