t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s,imu_valid,imu_yaw_rate_rad_s,imu_accel_x_m_s2,imu_accel_y_m_s2,battery_v,est_valid,est_x_mm,est_y_mm,est_theta_rad,est_vx_mm_s,est_vy_mm_s,est_omega_rad_s,est_gyro_bias_rad_s,est_health
-0.2978,-0.3324,34.6,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.00,-0.16,0.13,-2.56,1,-0.0067,-0.098,0.137,24.00,1,147.3,0.8,0.12262,0.0,0.0,-0.0067,-0.00000,OK
-0.2894,-0.3324,43.0,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.37,0.12,0.11,0.05,1,-0.0067,-0.098,0.137,25.00,1,147.3,0.8,0.12305,-3.1,2.0,0.0545,-0.05384,OK
-0.2819,-0.3324,50.5,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.03,0.49,-0.10,0.06,1,-0.0067,-0.127,0.147,25.00,1,147.3,0.8,0.12337,-4.0,-4.1,0.0403,-0.04938,OK
-0.2732,-0.3324,59.2,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.37,-0.47,0.29,-0.12,1,-0.0078,-0.127,0.147,25.00,1,147.3,0.8,0.12355,1.8,4.9,0.0262,-0.04149,OK
-0.2654,-0.3324,67.0,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.44,-0.41,0.30,-0.06,1,-0.0067,-0.137,0.137,24.00,1,147.3,0.8,0.12376,1.3,5.4,0.0329,-0.04066,OK
-0.2574,-0.3324,75.0,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.49,0.23,0.15,0.01,1,-0.0067,-0.127,0.147,25.00,1,147.2,0.9,0.12440,-5.3,1.0,0.0615,-0.05119,OK
-0.2497,-0.3324,82.7,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.24,0.23,-0.02,-0.27,1,-0.0067,-0.127,0.147,25.00,1,147.2,0.8,0.12426,-2.3,-7.4,0.0034,-0.03765,OK
-0.2417,-0.3324,90.7,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.13,0.36,-0.30,0.12,1,-0.0067,-0.137,0.137,26.00,1,147.2,0.8,0.12422,-3.0,-0.6,0.0186,-0.03400,OK
-0.2329,-0.3324,99.5,0,147.3,0.8,0.1226,147.3,0.8,0.1226,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.45,-0.14,-0.13,-0.27,1,-0.0067,-0.137,0.147,25.00,1,147.2,0.7,0.12352,1.9,-4.1,-0.0349,-0.01797,OK
-0.2256,-0.2302,4.5,0,147.3,1.0,0.1203,147.3,0.8,0.1226,0.0,0.0,0.0000,0.1,-0.6,0.0094,0.0,-0.6,0,0.0,0.0,0.0000,-0.33,-0.30,-0.05,0.24,1,-0.0056,-0.078,0.127,24.00,1,147.3,1.0,0.12153,0.4,0.3,-0.0072,-0.01401,OK
-0.2171,-0.2302,13.1,0,147.3,1.0,0.1203,147.3,0.8,0.1226,0.0,0.0,0.0000,0.1,-0.6,0.0094,0.0,-0.6,0,0.0,0.0,0.0000,0.13,-0.22,0.07,0.11,1,-0.0056,-0.078,0.127,24.00,1,147.3,1.0,0.12150,-0.0,0.0,0.0010,-0.01257,OK
