t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s,imu_valid,imu_yaw_rate_rad_s,imu_accel_x_m_s2,imu_accel_y_m_s2,battery_v,est_valid,est_x_mm,est_y_mm,est_theta_rad,est_vx_mm_s,est_vy_mm_s,est_omega_rad_s,est_gyro_bias_rad_s,est_health
-0.2977,-0.3046,6.9,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.60,-0.04,-0.05,0.30,1,-0.0067,-0.118,0.147,26.00,1,144.5,-4.0,0.13658,0.0,0.0,-0.0067,-0.00000,OK
-0.2895,-0.3046,15.1,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.18,0.14,-0.31,0.06,1,-0.0067,-0.098,0.147,25.00,1,144.5,-4.0,0.13640,-1.3,0.6,-0.0231,0.01444,OK
-0.2812,-0.3046,23.4,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.11,0.12,0.34,0.14,1,-0.0067,-0.088,0.147,25.00,1,144.5,-4.0,0.13678,2.4,-3.0,0.0353,-0.02216,OK
-0.2740,-0.3046,30.6,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.21,-0.17,-0.21,-0.10,1,-0.0067,-0.088,0.147,25.00,1,144.5,-4.0,0.13646,0.9,1.2,-0.0313,0.00199,OK
-0.2657,-0.3046,38.9,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.24,-0.21,0.23,-0.09,1,-0.0078,-0.098,0.137,25.00,1,144.6,-4.0,0.13612,5.5,-4.0,-0.0241,0.00805,OK
-0.2572,-0.3046,47.4,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.04,-0.19,0.43,0.27,1,-0.0067,-0.108,0.137,25.00,1,144.3,-4.0,0.13617,0.0,-0.0,0.0017,0.00209,OK
-0.2495,-0.3046,55.1,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,1.12,0.29,0.13,-0.09,1,-0.0067,-0.098,0.137,25.00,1,144.2,-4.0,0.13686,-18.8,5.2,0.0675,-0.01582,OK
-0.2409,-0.3046,63.8,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.18,-0.11,0.08,-0.18,1,-0.0078,-0.118,0.137,25.00,1,144.1,-4.0,0.13713,-8.0,0.6,0.0034,-0.01462,OK
-0.2331,-0.3046,71.5,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.39,0.13,0.02,0.07,1,-0.0078,-0.118,0.137,25.00,1,144.1,-4.0,0.13702,-2.3,-4.7,-0.0065,-0.01160,OK
-0.2256,-0.3046,79.1,0,144.5,-4.0,0.1366,144.5,-4.0,0.1366,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,-0.56,-0.08,0.00,0.15,1,-0.0056,-0.088,0.108,25.00,1,144.1,-4.0,0.13671,2.0,-3.0,-0.0199,-0.00620,OK
