t_s,tv_s,vision_age_ms,held,pose_x_mm,pose_y_mm,pose_theta_rad,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,ref_omega_rad_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s,cmd_body_vx_mm_s,cmd_body_vy_mm_s,near_goal,pred_x_mm,pred_y_mm,pred_theta_rad,wheel_fl_rad_s,wheel_bl_rad_s,wheel_br_rad_s,wheel_fr_rad_s,imu_valid,imu_yaw_rate_rad_s,imu_accel_x_m_s2,imu_accel_y_m_s2,battery_v,est_valid,est_x_mm,est_y_mm,est_theta_rad,est_vx_mm_s,est_vy_mm_s,est_omega_rad_s,est_gyro_bias_rad_s,est_health
-0.2934,-0.3012,7.8,0,144.5,0.7,0.1407,144.5,0.7,0.1407,0.0,0.0,0.0000,0.0,0.0,0.0000,0.0,0.0,0,0.0,0.0,0.0000,0.13,0.02,0.44,-0.11,1,-0.0067,-0.098,0.147,25.00,1,144.5,0.7,0.14071,0.0,0.0,-0.0067,-0.00000,OK
-0.2853,-0.2917,6.4,0,144.5,0.7,0.1441,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.1,-0.1,-0.0136,-0.2,-0.1,0,0.0,0.0,0.0000,-0.03,-0.01,-0.28,-0.12,1,-0.0067,-0.088,0.147,24.00,1,144.5,0.7,0.14228,4.2,2.7,-0.0318,0.02346,OK
-0.2772,-0.2839,6.7,0,144.8,0.6,0.1442,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.8,0.1,-0.0139,-0.8,0.3,0,0.0,0.0,0.0000,-0.22,-0.01,0.05,-0.04,1,-0.0067,-0.098,0.147,24.00,1,144.7,0.6,0.14282,23.9,-12.4,-0.0257,0.02102,OK
-0.2690,-0.2756,6.6,0,144.6,0.8,0.1409,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.5,-0.4,-0.0009,-0.6,-0.3,0,0.0,0.0,0.0000,-0.08,-0.19,-0.19,0.13,1,-0.0078,-0.118,0.147,24.00,1,144.7,0.8,0.14213,3.4,14.4,-0.0288,0.02069,OK
-0.2611,-0.2674,6.3,0,144.6,0.8,0.1436,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.5,-0.4,-0.0117,-0.6,-0.4,0,0.0,0.0,0.0000,-0.05,0.56,0.18,0.29,1,-0.0078,-0.118,0.147,25.00,1,144.6,0.8,0.14277,-1.2,-0.3,0.0338,-0.00614,OK
-0.2537,-0.2589,5.3,0,144.7,0.8,0.1443,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.7,-0.3,-0.0143,-0.7,-0.2,0,0.0,0.0,0.0000,0.26,2.50,0.07,0.16,1,-0.0078,-0.118,0.147,25.00,1,144.7,0.8,0.14373,-1.1,-9.7,0.0755,-0.02979,OK
-0.2448,-0.2504,5.5,0,144.6,0.8,0.1424,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.5,-0.3,-0.0067,-0.6,-0.2,0,0.0,0.0,0.0000,0.26,0.02,-0.21,0.04,1,-0.0078,-0.118,0.147,25.00,1,144.6,0.8,0.14364,-1.4,7.7,0.0164,-0.02862,OK
-0.2368,-0.2421,5.4,0,144.6,0.6,0.1399,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.4,0.1,0.0034,-0.4,0.2,0,0.0,0.0,0.0000,0.13,-0.18,-0.06,0.00,1,-0.0078,-0.108,0.137,24.00,1,144.6,0.6,0.14286,-5.0,-11.7,-0.0025,-0.02365,OK
-0.2297,-0.2332,3.4,0,144.4,0.8,0.1396,144.5,0.7,0.1407,0.0,0.0,0.0000,0.2,-0.4,0.0044,0.1,-0.4,0,0.0,0.0,0.0000,-0.24,0.07,-0.07,-0.34,1,-0.0078,-0.098,0.157,24.00,1,144.4,0.8,0.14193,-21.6,25.5,-0.0429,-0.01299,OK
-0.2213,-0.2268,5.5,0,144.6,0.8,0.1431,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.4,-0.3,-0.0095,-0.4,-0.2,0,0.0,0.0,0.0000,0.09,-0.05,0.26,-0.11,1,-0.0078,-0.098,0.157,24.00,1,144.6,0.8,0.14222,18.9,-4.1,0.0117,-0.01421,OK
-0.2137,-0.2161,2.4,0,144.7,0.7,0.1440,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.7,-0.2,-0.0131,-0.7,-0.1,0,0.0,0.0,0.0000,-0.07,-0.56,0.06,0.15,1,-0.0067,-0.127,0.157,25.00,1,144.7,0.7,0.14257,17.4,-5.7,0.0189,-0.01256,OK
-0.2050,-0.2082,3.2,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,-0.12,0.38,0.04,-0.22,1,-0.0078,-0.049,0.147,25.00,1,144.7,0.8,0.14257,-2.5,5.4,0.0014,-0.01174,OK
-0.1975,-0.2082,10.7,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,-0.13,0.03,0.22,0.04,1,-0.0067,-0.118,0.157,25.00,1,144.7,0.8,0.14257,0.0,0.0,0.0007,-0.01105,OK
-0.1892,-0.2082,19.0,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,0.91,-0.10,-0.14,0.12,1,-0.0067,-0.118,0.157,24.00,1,144.6,0.8,0.14281,-10.3,16.0,0.0418,-0.01617,OK
-0.1805,-0.2082,27.7,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,0.03,0.04,0.30,-0.10,1,-0.0078,-0.127,0.157,25.00,1,144.6,0.9,0.14306,-1.8,-1.2,0.0133,-0.01679,OK
-0.1728,-0.2082,35.4,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,-0.81,0.02,-0.21,-0.02,1,-0.0111,-0.118,0.186,25.00,1,144.6,0.9,0.14283,2.9,-2.7,-0.0400,-0.01114,OK
-0.1648,-0.2082,43.4,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,-0.08,-0.31,-0.04,-0.04,1,-0.0100,-0.078,0.118,25.00,1,144.6,0.9,0.14254,0.3,5.5,-0.0177,-0.00894,OK
-0.1569,-0.2082,51.3,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,-0.18,0.14,-0.28,-0.04,1,-0.0044,-0.059,0.147,25.00,1,144.6,0.9,0.14236,-4.2,2.1,-0.0122,-0.00707,OK
-0.1490,-0.2082,59.2,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,-0.02,-0.12,0.31,-0.58,1,-0.0044,-0.059,0.147,24.00,1,144.5,0.9,0.14215,-3.8,-5.4,-0.0194,-0.00470,OK
-0.1410,-0.2082,67.2,0,144.7,0.8,0.1427,144.5,0.7,0.1407,0.0,0.0,0.0000,-0.6,-0.3,-0.0079,-0.7,-0.2,0,0.0,0.0,0.0000,0.36,0.04,0.14,0.45,1,0.0000,-0.127,0.127,24.00,1,144.5,0.9,0.14243,-0.1,8.0,0.0463,-0.00900,OK
