# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23517750410041,1790087496.887472,1790087496.891345,0,-610.06,430.86,-1.27525,0.754
23517750428418,1790087496.895988,1790087496.899938,0,-609.63,431.02,-1.27499,0.779
23517751909130,1790087496.904418,1790087496.908485,0,-610.07,430.54,-1.26934,0.788
23517751949315,1790087496.912868,1790087496.916769,0,-611.86,431.37,-1.27828,0.763
23517751953656,1790087496.921340,1790087496.925628,0,-611.80,431.02,-1.27721,0.754
23517751957408,1790087496.929753,1790087496.933916,0,-611.15,431.63,-1.27452,0.784
23517751961647,1790087496.938201,1790087496.942466,0,-609.44,430.28,-1.26162,0.805
23517752481154,1790087496.946656,1790087496.950723,0,-609.75,430.55,-1.26475,0.786
23517854298440,1790087496.997361,1790087497.001501,0,-610.00,430.76,-1.27570,0.761
23517854368656,1790087497.005820,1790087497.010455,0,-611.11,431.36,-1.26934,0.774
23517854380458,1790087497.014264,1790087497.018395,0,-609.68,430.72,-1.26700,0.784
23517854388327,1790087497.022699,1790087497.026587,0,-609.21,430.50,-1.26204,0.807
23517854396797,1790087497.031153,1790087497.035013,0,-610.01,430.56,-1.27041,0.778
23517854405415,1790087497.039601,1790087497.043480,0,-609.15,431.10,-1.27416,0.790
23517856088321,1790087497.048055,1790087497.052479,0,-609.87,430.93,-1.27419,0.774
23517856122700,1790087497.056440,1790087497.060367,0,-611.69,431.09,-1.27500,0.777
23517856128410,1790087497.064929,1790087497.068821,0,-609.47,430.57,-1.26752,0.783
23517953297194,1790087497.073406,1790087497.077249,0,-609.85,431.10,-1.27253,0.771
23517953382859,1790087497.081837,1790087497.086419,0,-609.78,430.85,-1.26877,0.776
23517953396794,1790087497.090273,1790087497.094141,0,-609.42,430.60,-1.26383,0.785
23517953405136,1790087497.098760,1790087497.102745,0,-609.47,430.44,-1.26470,0.791
23517956063546,1790087497.107208,1790087497.111056,0,-610.01,431.01,-1.27347,0.766
23517956139889,1790087497.132551,1790087497.136437,0,-609.58,430.98,-1.26795,0.782
23517956151370,1790087497.140989,1790087497.144894,0,-610.12,430.84,-1.27246,0.753
23517960090082,1790087497.157883,1790087497.162029,0,-609.68,430.76,-1.26664,0.769
23518065390333,1790087497.225552,1790087497.229626,0,-609.90,430.59,-1.26960,0.781
23518065455877,1790087497.233948,1790087497.237977,0,-611.36,431.45,-1.27546,0.780
23518065464720,1790087497.242347,1790087497.246462,0,-609.89,430.75,-1.26850,0.789
23518065910397,1790087497.250826,1790087497.256008,0,-609.28,430.69,-1.26438,0.792
23518065916050,1790087497.259298,1790087497.263233,0,-610.00,430.93,-1.27388,0.771
23518065920963,1790087497.267727,1790087497.271606,0,-611.14,431.30,-1.26881,0.776
23518163427844,1790087497.276153,1790087497.280302,0,-609.46,430.70,-1.26413,0.769
23518163484676,1790087497.284858,1790087497.291481,0,-609.39,430.86,-1.26649,0.803
23518163493530,1790087497.293530,1790087497.297608,0,-609.91,430.94,-1.27072,0.767
23518163500376,1790087497.301564,1790087497.305483,0,-611.60,431.26,-1.27497,0.778
23518163532796,1790087497.309978,1790087497.313800,0,-610.02,430.62,-1.27023,0.777
23518163538467,1790087497.318617,1790087497.324262,0,-609.36,430.24,-1.25923,0.808
23518163544086,1790087497.326865,1790087497.331158,0,-610.00,431.04,-1.27394,0.769
23518163550237,1790087497.335324,1790087497.339339,0,-609.00,430.85,-1.26460,0.828
23518163556050,1790087497.343775,1790087497.347628,0,-609.96,430.99,-1.27296,0.766
23518163561493,1790087497.352500,1790087497.357825,0,-611.31,431.29,-1.27195,0.783
23518265272669,1790087497.394474,1790087497.398463,0,-611.39,431.23,-1.26953,0.772
23518265368371,1790087497.402905,1790087497.407210,0,-609.83,430.78,-1.26953,0.776
23518265377742,1790087497.411356,1790087497.415764,0,-610.22,430.91,-1.28140,0.753
23518265384158,1790087497.420199,1790087497.425654,0,-611.68,431.22,-1.27509,0.779
23518265390091,1790087497.428293,1790087497.432584,0,-609.55,430.58,-1.26926,0.805
23518265395776,1790087497.436761,1790087497.440691,0,-609.85,430.86,-1.27029,0.766
23518265401127,1790087497.445142,1790087497.449555,0,-609.82,430.45,-1.26457,0.787
23518265407264,1790087497.453794,1790087497.458298,0,-610.08,430.79,-1.27257,0.777
23518270069980,1790087497.462072,1790087497.466124,0,-609.93,430.25,-1.26483,0.785
23518367405630,1790087497.470477,1790087497.474646,0,-609.15,431.40,-1.27582,0.796
23518367455534,1790087497.478942,1790087497.482914,0,-608.98,430.77,-1.26476,0.831
23518367464919,1790087497.487498,1790087497.491758,0,-610.11,430.73,-1.27441,0.755
23518367471420,1790087497.495883,1790087497.500442,0,-609.60,430.90,-1.27119,0.800
23518367477435,1790087497.504342,1790087497.508495,0,-609.74,430.55,-1.26644,0.767
23518367483316,1790087497.512759,1790087497.516753,0,-609.11,431.02,-1.26563,0.813
23518367488832,1790087497.521308,1790087497.525304,0,-609.92,430.94,-1.27055,0.748
23518367494143,1790087497.529641,1790087497.533524,0,-611.26,431.44,-1.27157,0.777
23518367499688,1790087497.538103,1790087497.542287,0,-609.43,430.33,-1.25906,0.813
23518367505294,1790087497.546523,1790087497.550553,0,-609.58,430.46,-1.26301,0.788
23518367512113,1790087497.555146,1790087497.559200,0,-609.81,430.83,-1.27152,0.781
23518373069308,1790087497.563447,1790087497.567394,0,-611.31,431.19,-1.27217,0.773
23518373100985,1790087497.571959,1790087497.575830,0,-609.40,430.54,-1.26192,0.799
23518465823532,1790087497.580285,1790087497.584216,0,-609.88,430.99,-1.26932,0.771
23518470346902,1790087497.588894,1790087497.593002,0,-609.55,430.38,-1.26453,0.805
23518470370080,1790087497.622677,1790087497.626959,0,-609.92,430.76,-1.26941,0.770
23518470379319,1790087497.631104,1790087497.635011,0,-611.62,431.33,-1.27633,0.763
23518470387560,1790087497.639539,1790087497.643678,0,-609.43,431.25,-1.27735,0.795
23518470392755,1790087497.647969,1790087497.651823,0,-609.95,430.82,-1.27136,0.781
23518470398265,1790087497.656376,1790087497.660339,0,-609.95,430.58,-1.27061,0.786
23518472272543,1790087497.664865,1790087497.668811,0,-611.12,431.39,-1.26868,0.768
23518577904401,1790087497.673315,1790087497.677110,0,-609.73,430.84,-1.26789,0.795
23518577953881,1790087497.681755,1790087497.685708,0,-609.74,430.82,-1.26976,0.788
23518577962451,1790087497.690212,1790087497.694151,0,-609.59,430.37,-1.26270,0.807
23518577968199,1790087497.698653,1790087497.702589,0,-609.32,430.50,-1.26087,0.796
23518577986316,1790087497.707123,1790087497.711117,0,-610.06,430.91,-1.27392,0.768
23518577992978,1790087497.715563,1790087497.719618,0,-611.85,431.25,-1.27783,0.781
23518577998747,1790087497.724004,1790087497.727896,0,-609.87,430.76,-1.27156,0.777
23518578016408,1790087497.732475,1790087497.736355,0,-609.70,430.92,-1.27406,0.780
23518578022816,1790087497.740918,1790087497.744726,0,-611.25,431.35,-1.27037,0.762
23518578028536,1790087497.749361,1790087497.753579,0,-609.42,430.25,-1.26003,0.792
23518578050169,1790087497.757798,1790087497.761776,0,-609.36,430.83,-1.26501,0.776
23518578056268,1790087497.766259,1790087497.770221,0,-609.86,430.76,-1.27010,0.768
23518578061847,1790087497.774698,1790087497.778841,0,-609.90,430.74,-1.27215,0.777
23518783658371,1790087497.892982,1790087497.897446,0,-609.99,430.87,-1.27237,0.785
23518783717263,1790087497.901482,1790087497.905428,0,-609.31,430.66,-1.26445,0.795
23518783726113,1790087497.909912,1790087497.913993,0,-609.44,431.14,-1.27548,0.801
23518783731928,1790087497.918353,1790087497.922696,0,-609.81,430.55,-1.27045,0.818
23518783754317,1790087497.926754,1790087497.930655,0,-609.33,430.45,-1.26152,0.809
23518783765094,1790087497.935254,1790087497.939242,0,-609.73,430.69,-1.27247,0.788
23518783770815,1790087497.943713,1790087497.947682,0,-609.38,430.26,-1.26324,0.847
23518783776187,1790087497.952127,1790087497.956275,0,-609.57,430.71,-1.26547,0.803
23518783781950,1790087497.960579,1790087497.964700,0,-609.72,430.70,-1.27238,0.801
23518783787655,1790087497.969057,1790087497.973012,0,-609.81,430.59,-1.27074,0.796
23518783794396,1790087497.977456,1790087497.981377,0,-609.26,430.46,-1.25968,0.821
23518989206088,1790087498.112700,1790087498.116672,0,-609.86,430.76,-1.27026,0.793
23518989265511,1790087498.121500,1790087498.127089,0,-609.56,430.69,-1.26834,0.797
23518989274541,1790087498.129610,1790087498.133604,0,-609.10,430.46,-1.26536,0.813
