# raven trajpoc id=15 t0_ns=23520313035831
t_ns,visible,pose_x_mm,pose_y_mm,pose_theta_rad,est_vx_mm_s,est_vy_mm_s,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s
23520039831146,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,0.0,0.0,0.0000
23520056088016,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,0.0,0.0,0.0000
23520073360237,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0025
23520089539636,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0028
23520105686989,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0032
23520121858245,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0035
23520138026611,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0039
23520154263112,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0042
23520170426979,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0046
23520186632625,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0049
23520202825999,1,-609.43,431.10,-1.27080,4.4,6.2,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0053
23520219016958,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0056
23520235286702,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.68,430.89,-1.27063,2.4,-7.8,16.6,-59.1,0.0056
23520251538025,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.68,430.89,-1.27063,2.4,-7.8,-12.8,43.7,-0.1090
23520267748771,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.68,430.89,-1.27063,2.4,-7.8,1.4,-1.8,-0.1219
23520283952750,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.68,430.89,-1.27063,2.4,-7.8,19.5,-60.0,-0.1349
23520300175456,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.68,430.89,-1.27063,2.4,-7.8,40.8,-117.4,-0.1479
23520316352558,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.67,430.87,-1.27063,2.4,-7.8,64.2,-184.4,-0.1608
23520332748504,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.61,430.69,-1.27063,7.0,-22.7,72.0,-207.6,-0.1738
23520348970076,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.48,430.26,-1.27063,12.4,-38.0,76.0,-206.2,-0.1868
23520365167107,1,-609.32,430.30,-1.26387,9.3,-42.6,-609.26,429.58,-1.27063,17.2,-53.6,75.7,-206.3,-0.1997
23520381324049,1,-609.32,430.30,-1.26387,9.3,-42.6,-608.96,428.65,-1.27063,21.8,-68.5,81.4,-204.0,-0.2127
23520397506862,1,-609.32,430.30,-1.26387,9.3,-42.6,-608.58,427.47,-1.27063,26.7,-84.0,80.4,-204.4,-0.2257
23520413764741,1,-609.32,430.30,-1.26387,9.3,-42.6,-608.12,426.04,-1.27063,32.5,-98.6,63.0,-149.5,-0.1768
23520429972518,1,-608.67,421.71,-1.26697,47.6,-144.5,-607.57,424.36,-1.27063,38.5,-113.7,60.6,-131.1,-0.1380
23520446206902,1,-608.29,421.13,-1.26668,51.7,-143.9,-606.91,422.44,-1.27063,43.9,-129.0,137.0,-304.5,0.1569
23520462425746,1,-608.29,421.13,-1.26668,51.7,-143.9,-606.16,420.27,-1.27063,50.9,-143.2,141.5,-302.3,0.1710
23520478579441,1,-608.29,421.13,-1.26668,51.7,-143.9,-605.31,417.87,-1.27063,56.7,-157.8,146.7,-299.5,0.1851
23520494736294,1,-608.29,421.13,-1.26668,51.7,-143.9,-604.35,415.24,-1.27063,65.1,-172.2,152.4,-296.0,0.1991
23520510908166,1,-608.29,421.13,-1.26668,51.7,-143.9,-603.26,412.37,-1.27063,71.5,-186.6,157.1,-293.0,0.2132
23520527102896,1,-608.29,421.13,-1.26668,51.7,-143.9,-602.05,409.26,-1.27063,79.3,-201.2,162.1,-289.5,0.2272
23520543264068,1,-608.29,421.13,-1.26668,51.7,-143.9,-600.71,405.93,-1.27063,88.7,-214.6,168.2,-284.8,0.2413
23520559403822,1,-608.29,421.13,-1.26668,51.7,-143.9,-599.23,402.38,-1.27063,97.3,-227.7,173.0,-280.8,0.2554
23520575530880,1,-608.29,421.13,-1.26668,51.7,-143.9,-597.59,398.62,-1.27063,106.9,-241.7,177.7,-276.5,0.2694
23520592034862,1,-608.29,421.13,-1.26668,51.7,-143.9,-595.76,394.54,-1.27063,116.7,-254.4,184.0,-270.3,0.2835
23520608286688,1,-608.29,421.13,-1.26668,51.7,-143.9,-593.79,390.32,-1.27063,127.7,-266.7,188.8,-265.1,0.2975
23520624450591,1,-601.23,399.86,-1.28018,116.7,-251.8,-591.63,385.91,-1.27063,139.5,-279.4,215.2,-313.4,0.1073
23520640612720,1,-592.83,377.18,-1.31431,135.3,-288.5,-589.29,381.31,-1.27063,150.9,-290.9,215.2,-313.4,0.1073
23520657134452,1,-592.83,377.18,-1.31431,135.3,-288.5,-586.69,376.41,-1.27063,164.3,-302.5,305.7,-360.0,0.0655
23520673300535,1,-592.83,377.18,-1.31431,135.3,-288.5,-583.92,371.43,-1.27063,178.1,-313.2,315.2,-369.7,0.1116
23520689455699,1,-592.83,377.18,-1.31431,135.3,-288.5,-580.93,366.29,-1.27063,191.7,-323.4,322.0,-374.3,0.1577
23520705625305,1,-592.83,377.18,-1.31431,135.3,-288.5,-577.70,360.97,-1.27063,206.5,-333.2,324.9,-371.9,0.2038
23520721772553,1,-592.83,377.18,-1.31431,135.3,-288.5,-574.26,355.58,-1.27063,218.7,-334.7,327.4,-367.5,0.2499
23520737895832,1,-575.10,346.61,-1.29930,206.8,-309.1,-570.67,350.22,-1.27063,225.9,-330.5,330.9,-360.6,0.2959
23520754044617,1,-575.10,346.61,-1.29930,206.8,-309.1,-566.97,344.93,-1.27063,232.2,-325.3,189.6,-138.3,0.1207
23520770172764,1,-575.10,346.61,-1.29930,206.8,-309.1,-563.16,339.73,-1.27063,239.2,-320.5,232.0,-170.0,0.1439
23520786288527,1,-575.10,346.61,-1.29930,206.8,-309.1,-559.24,334.61,-1.27063,246.0,-315.1,347.7,-249.7,0.1671
23520802429497,1,-575.10,346.61,-1.29930,206.8,-309.1,-555.20,329.57,-1.27063,253.1,-310.3,353.9,-255.7,0.1903
23520818561853,1,-575.10,346.61,-1.29930,206.8,-309.1,-551.06,324.62,-1.27063,259.1,-304.5,416.2,-311.7,0.2135
23520834733183,1,-551.57,315.77,-1.25180,300.5,-318.6,-546.81,319.75,-1.27063,266.0,-299.1,427.9,-362.6,0.2376
23520850895699,1,-551.57,315.77,-1.25180,300.5,-318.6,-542.44,314.98,-1.27063,272.4,-292.5,228.0,-174.0,-0.2884
23520867038699,1,-551.57,315.77,-1.25180,300.5,-318.6,-537.99,310.31,-1.27063,278.1,-287.5,288.5,-207.4,-0.3473
23520883200870,1,-551.57,315.77,-1.25180,300.5,-318.6,-533.43,305.72,-1.27063,284.1,-281.7,355.9,-241.3,-0.4063
23520899348877,1,-551.57,315.77,-1.25180,300.5,-318.6,-528.78,301.25,-1.27063,290.4,-274.5,425.7,-273.0,-0.4653
23520915465711,1,-551.57,315.77,-1.25180,300.5,-318.6,-524.04,296.87,-1.27063,296.6,-269.3,461.0,-282.2,-0.5242
23520931595414,1,-551.57,315.77,-1.25180,300.5,-318.6,-519.20,292.60,-1.27063,301.1,-262.7,482.0,-287.1,-0.5832
23520947726407,1,-551.57,315.77,-1.25180,300.5,-318.6,-514.28,288.44,-1.27063,307.4,-255.5,486.1,-281.4,-0.6422
23520963881764,1,-551.57,315.77,-1.25180,300.5,-318.6,-509.26,284.38,-1.27063,312.7,-249.3,493.1,-269.1,-0.7011
23520980051624,1,-551.57,315.77,-1.25180,300.5,-318.6,-504.14,280.42,-1.27063,318.0,-243.1,499.5,-256.8,-0.7601
23520996198264,1,-551.57,315.77,-1.25180,300.5,-318.6,-498.95,276.57,-1.27063,323.1,-236.3,273.1,-83.5,-0.8191
23521012386011,1,-551.57,315.77,-1.25180,300.5,-318.6,-493.66,272.83,-1.27063,328.4,-228.1,288.4,-82.9,-0.8780
23521028540519,1,-518.96,289.11,-1.20085,397.9,-215.3,-488.31,269.22,-1.27063,332.5,-222.3,417.8,-153.8,-0.6487
23521044704119,1,-486.93,272.16,-1.18078,430.9,-215.6,-482.88,265.71,-1.27063,337.4,-214.9,303.9,-147.2,0.2250
23521060858232,1,-486.93,272.16,-1.18078,430.9,-215.6,-477.37,262.33,-1.27063,342.3,-207.5,376.1,-162.1,0.1620
23521077009827,1,-486.93,272.16,-1.18078,430.9,-215.6,-471.79,259.07,-1.27063,346.4,-199.6,455.5,-181.7,0.0990
23521093162205,1,-486.93,272.16,-1.18078,430.9,-215.6,-466.15,255.92,-1.27063,350.3,-193.2,519.0,-188.6,0.0359
23521109351979,1,-486.93,272.16,-1.18078,430.9,-215.6,-460.43,252.89,-1.27063,354.4,-185.4,536.8,-171.7,-0.0271
23521125532526,1,-486.93,272.16,-1.18078,430.9,-215.6,-454.64,250.00,-1.27063,358.3,-177.0,542.3,-152.4,-0.0901
23521141699000,1,-486.93,272.16,-1.18078,430.9,-215.6,-448.80,247.23,-1.27063,362.7,-169.7,546.9,-134.0,-0.1532
23521157863371,1,-486.93,272.16,-1.18078,430.9,-215.6,-442.90,244.58,-1.27063,365.6,-162.3,530.5,-108.2,-0.2162
23521174017667,1,-486.93,272.16,-1.18078,430.9,-215.6,-436.95,242.06,-1.27063,369.1,-154.7,425.9,-52.5,-0.2793
23521190198261,1,-486.93,272.16,-1.18078,430.9,-215.6,-430.93,239.67,-1.27063,372.3,-145.8,425.9,-52.5,-0.2793
23521206382294,1,-486.93,272.16,-1.18078,430.9,-215.6,-424.87,237.41,-1.27063,375.2,-138.4,428.0,-40.5,-0.4053
23521222560125,1,-486.93,272.16,-1.18078,430.9,-215.6,-418.76,235.27,-1.27063,378.1,-130.9,428.0,-40.5,-0.4053
23521238769832,1,-486.93,272.16,-1.18078,430.9,-215.6,-412.60,233.28,-1.27063,380.5,-121.7,423.6,-34.7,-1.0421
23521255080627,1,-403.40,241.50,-1.31376,475.9,-171.3,-406.35,231.40,-1.27063,383.4,-114.2,416.8,-26.0,-1.4634
23521271289760,1,-403.40,241.50,-1.31376,475.9,-171.3,-400.10,229.66,-1.27063,386.2,-106.2,223.2,-16.4,1.1183
23521287442570,1,-403.40,241.50,-1.31376,475.9,-171.3,-393.84,228.06,-1.27063,387.5,-97.9,327.0,-11.6,1.2491
23521303601975,1,-403.40,241.50,-1.31376,475.9,-171.3,-387.54,226.62,-1.27063,389.9,-88.7,398.0,-1.4,1.3703
23521319742247,1,-403.40,241.50,-1.31376,475.9,-171.3,-381.23,225.30,-1.27063,391.5,-81.0,488.2,0.0,1.3703
23521335927876,1,-403.40,241.50,-1.31376,475.9,-171.3,-374.86,224.10,-1.27063,393.6,-73.1,451.0,23.7,1.3703
23521352065612,1,-403.40,241.50,-1.31376,475.9,-171.3,-368.49,223.06,-1.27063,394.8,-64.3,451.7,31.4,1.3703
23521368198341,1,-403.40,241.50,-1.31376,475.9,-171.3,-362.10,222.15,-1.27063,396.0,-55.4,363.4,71.6,1.3703
23521384344860,1,-403.40,241.50,-1.31376,475.9,-171.3,-355.69,221.39,-1.27063,397.3,-47.1,370.0,76.4,1.3703
23521400498716,1,-403.40,241.50,-1.31376,475.9,-171.3,-349.25,220.74,-1.27063,398.3,-39.6,375.5,83.5,1.3703
23521416628692,1,-403.40,241.50,-1.31376,475.9,-171.3,-342.83,220.26,-1.27063,398.5,-29.8,380.3,89.7,1.3703
23521432757474,1,-403.40,241.50,-1.31376,475.9,-171.3,-336.39,219.90,-1.27063,399.3,-21.7,383.1,95.6,1.3703
23521448902736,1,-316.95,228.53,-1.23880,412.9,72.8,-329.93,219.68,-1.27063,400.0,-13.6,481.5,23.9,1.3703
23521465030395,1,-316.95,228.53,-1.23880,412.9,72.8,-323.48,219.60,-1.27063,400.0,-5.1,361.6,9.6,-1.3703
23521481202473,1,-316.95,228.53,-1.23880,412.9,72.8,-317.01,219.67,-1.27063,399.8,12.5,364.2,16.1,-1.3703
23521497330150,1,-316.95,228.53,-1.23880,412.9,72.8,-310.56,219.87,-1.27063,399.4,20.2,380.6,25.4,-1.3703
23521513444205,1,-316.95,228.53,-1.23880,412.9,72.8,-304.13,220.20,-1.27063,399.0,29.9,421.1,34.1,-1.3703
23521529566634,1,-316.95,228.53,-1.23880,412.9,72.8,-297.70,220.69,-1.27063,398.6,37.7,431.3,77.0,-1.3703
23521545709446,1,-316.95,228.53,-1.23880,412.9,72.8,-291.26,221.30,-1.27063,397.2,46.4,421.2,81.0,-1.3703
