# raven trajpoc id=15 t0_ns=23494536290259
t_ns,visible,pose_x_mm,pose_y_mm,pose_theta_rad,est_vx_mm_s,est_vy_mm_s,ref_x_mm,ref_y_mm,ref_theta_rad,ref_vx_mm_s,ref_vy_mm_s,cmd_world_vx_mm_s,cmd_world_vy_mm_s,cmd_omega_rad_s
23494250589375,1,-594.09,584.62,-0.93796,-0.3,2.2,-594.09,584.62,-0.93796,4.8,-6.6,0.0,0.0,0.0000
23494266795812,1,-594.09,584.62,-0.93796,-0.3,2.2,-594.09,584.62,-0.93796,4.8,-6.6,0.0,0.0,0.0000
23494283091555,1,-594.09,584.62,-0.93796,-0.3,2.2,-594.09,584.62,-0.93796,4.8,-6.6,36.3,-49.7,-0.0000
23494299277288,1,-594.09,584.62,-0.93796,-0.3,2.2,-594.09,584.62,-0.93796,4.8,-6.6,36.3,-49.7,-0.0000
23494315470084,1,-594.07,584.57,-0.93795,0.1,0.9,-594.09,584.62,-0.93796,4.8,-6.6,36.3,-49.7,-0.0000
23494331677793,1,-594.07,584.57,-0.93795,0.1,0.9,-594.09,584.62,-0.93796,4.8,-6.6,-20.4,27.9,-0.0002
23494347960631,1,-594.07,584.57,-0.93795,0.1,0.9,-594.09,584.62,-0.93796,4.8,-6.6,-20.4,27.9,-0.0002
23494364176086,1,-594.07,584.57,-0.93795,0.1,0.9,-594.09,584.62,-0.93796,4.8,-6.6,-20.4,27.9,-0.0002
23494380365294,1,-594.07,584.57,-0.93795,0.1,0.9,-594.09,584.62,-0.93796,4.8,-6.6,-20.4,27.9,-0.0002
23494396564076,1,-594.07,584.57,-0.93795,0.1,0.9,-594.09,584.62,-0.93796,4.8,-6.6,-20.4,27.9,-0.0002
23494412717838,1,-593.70,583.69,-0.93575,20.9,-32.0,-594.09,584.62,-0.93796,4.8,-6.6,-20.4,27.9,-0.0003
23494428910006,1,-593.70,583.69,-0.93575,20.9,-32.0,-594.09,584.62,-0.93796,4.8,-6.6,68.9,-92.9,-0.0270
23494445094268,1,-593.70,583.69,-0.93575,20.9,-32.0,-594.09,584.62,-0.93796,4.8,-6.6,68.9,-92.9,-0.0309
23494461340855,1,-593.70,583.69,-0.93575,20.9,-32.0,-594.09,584.62,-0.93796,4.8,-6.6,75.0,-101.3,-0.0347
23494477534480,1,-593.70,583.69,-0.93575,20.9,-32.0,-594.09,584.62,-0.93796,4.8,-6.6,76.9,-104.2,-0.0385
23494493758509,1,-593.70,583.69,-0.93575,20.9,-32.0,-594.09,584.62,-0.93796,4.8,-6.6,77.2,-104.4,-0.0424
23494509936287,1,-594.11,584.35,-0.93570,-14.1,23.4,-594.09,584.62,-0.93796,4.8,-6.6,77.7,-104.0,-0.0462
23494526377226,1,-594.56,585.37,-0.93591,-11.3,17.7,-594.09,584.62,-0.93796,4.8,-6.6,12.4,-18.0,0.0357
23494542598594,1,-594.56,585.37,-0.93591,-11.3,17.7,-594.06,584.58,-0.93796,4.8,-6.6,50.1,-69.5,0.0363
23494558995557,1,-594.56,585.37,-0.93591,-11.3,17.7,-593.92,584.39,-0.93796,14.0,-19.2,91.2,-125.3,0.0369
23494575262519,1,-594.56,585.37,-0.93591,-11.3,17.7,-593.63,583.99,-0.93796,23.7,-32.3,124.8,-170.9,0.0375
23494591463160,1,-594.56,585.37,-0.93591,-11.3,17.7,-593.17,583.37,-0.93796,33.3,-45.4,163.9,-224.5,0.0381
23494607666175,1,-594.56,585.37,-0.93591,-11.3,17.7,-592.57,582.54,-0.93796,42.5,-58.0,164.0,-224.4,0.0387
23494623877816,1,-588.70,578.38,-0.91896,77.2,-87.3,-591.80,581.50,-0.93796,52.1,-71.1,83.0,-112.1,-0.2195
23494640088789,1,-588.70,578.38,-0.91896,77.2,-87.3,-590.89,580.25,-0.93796,61.4,-83.7,67.1,-103.8,-0.3640
23494656266812,1,-588.70,578.38,-0.91896,77.2,-87.3,-589.82,578.80,-0.93796,71.0,-96.8,89.2,-133.5,-0.4025
23494672449198,1,-588.70,578.38,-0.91896,77.2,-87.3,-588.59,577.12,-0.93796,80.6,-109.9,113.5,-167.8,-0.4409
23494688607514,1,-588.70,578.38,-0.91896,77.2,-87.3,-587.21,575.24,-0.93796,89.8,-122.5,139.7,-203.4,-0.4794
23494704849333,1,-588.70,578.38,-0.91896,77.2,-87.3,-585.67,573.14,-0.93796,99.4,-135.6,153.1,-220.5,-0.5179
23494721179605,1,-577.45,564.48,-0.91098,152.2,-191.9,-583.96,570.82,-0.93796,108.7,-148.2,97.4,-122.8,0.3484
23494737402249,1,-577.45,564.48,-0.91098,152.2,-191.9,-582.12,568.31,-0.93796,117.2,-159.8,23.6,-31.3,0.3746
23494753674809,1,-577.45,564.48,-0.91098,152.2,-191.9,-580.21,565.69,-0.93796,118.3,-161.3,65.4,-85.4,0.3743
23494769832610,1,-577.45,564.48,-0.91098,152.2,-191.9,-578.30,563.09,-0.93796,118.3,-161.3,86.5,-114.0,0.3739
23494786031980,1,-577.45,564.48,-0.91098,152.2,-191.9,-576.38,560.47,-0.93796,118.3,-161.3,109.2,-145.6,0.3736
23494802195314,1,-577.45,564.48,-0.91098,152.2,-191.9,-574.47,557.87,-0.93796,118.3,-161.3,130.9,-174.7,0.3732
23494818608527,1,-563.34,544.96,-0.94618,126.9,-158.7,-572.53,555.22,-0.93796,118.3,-161.3,186.4,-272.7,-1.2988
23494834806309,1,-563.34,544.96,-0.94618,126.9,-158.7,-570.61,552.61,-0.93796,118.3,-161.3,32.2,-46.8,0.1042
23494850978733,1,-563.34,544.96,-0.94618,126.9,-158.7,-568.70,550.00,-0.93796,118.3,-161.3,55.0,-77.6,0.0956
